图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音,标准拼音,讯飞数据,讯飞判定(单threshold),讯飞判定(threshold区间),是否需要人工判断
VE03000042,三角形,1618278457024T0305VE03000042VE011831618278723651,三角形,0, 否,1,3,1,粘种子,"['zhan', 'zhong', 'zi']",['san-jiao-xing'],"{'word': '粘种子', 'pinyin': ""['zhan', 'zhong', 'zi']"", 'nearest': ['zhan', 'zhong', 'zi'], 'minDis': 3.1999999999999997}",0,0,0
VE03000045,熊猫,1618296589699T0302VE03000045VE004981618296800939,以熊猫,0,0,0,3,1,这是什么？,"['zhe', 'shi', 'shen', 'me']",['xiong-mao'],"{'word': '这是什么？', 'pinyin': ""['zhe', 'shi', 'shen', 'me']"", 'nearest': ['shen', 'me'], 'minDis': 3.5}",0,0,0
VE03000049,警察,1618280457904T0405VE03000049VE009331618280665268,警察,0,0,0,4,1,补偿,"['bu', 'chang']",['jing-cha'],"{'word': '补偿', 'pinyin': ""['bu', 'chang']"", 'nearest': ['bu', 'chang'], 'minDis': 3.0}",0,0,0
VE03000049,警察,1618299730739T0402VE03000049VE009331618299997905,景警察,0,0,1,3,1,进进前,"['jin', 'jin', 'qian']",['jing-cha'],"{'word': '进进前', 'pinyin': ""['jin', 'jin', 'qian']"", 'nearest': ['jin', 'jin'], 'minDis': 2.25}",0,0,0
VE03000049,警察,1618470554451T0402VE03000049VE009331618470705810,警察,0,0,1,4,1,你好,"['ni', 'hao']",['jing-cha'],"{'word': '你好', 'pinyin': ""['ni', 'hao']"", 'nearest': ['ni', 'hao'], 'minDis': 2.5}",0,0,0
VE03000049,警察,1618471019753T0402VE03000049VE009331618471238502,警察,0,0,0,4,1,异常,"['yi', 'chang']",['jing-cha'],"{'word': '异常', 'pinyin': ""['yi', 'chang']"", 'nearest': ['yi', 'chang'], 'minDis': 2.5}",0,0,0
VE04000057,橙色、橘色,1618455362593T0504VE04000057VE001081618455457866,橘色,0,0,0,5,1,只是,"['zhi', 'shi']","['cheng-se', 'ju-se']","{'word': '只是', 'pinyin': ""['zhi', 'shi']"", 'nearest': ['zhi', 'shi'], 'minDis': 2.6}",0,0,0
VE04000059,骨头、骨骼,1618297471484T0502VE04000059VE002141618297673403,这是骨头,0,0,1,5,1,嗯好,"['en', 'hao']","['gu-tou', 'gu-ge']","{'word': '嗯好', 'pinyin': ""['en', 'hao']"", 'nearest': ['en', 'hao'], 'minDis': 3.0}",0,0,0
VE04000062,秋千,1618276804004T0404VE04000062VE007331618277087190,这是秋千,0,0,1,5,1,真是吃吃,"['zhen', 'shi', 'chi', 'chi']",['qiu-qian'],"{'word': '真是吃吃', 'pinyin': ""['zhen', 'shi', 'chi', 'chi']"", 'nearest': ['shi', 'chi'], 'minDis': 3.5}",0,0,0
VE04000063,菊花、花,1618285767289T0404VE04000063VE010361618285980368,这玫瑰花,0,0,0,3,0,一个玫瑰花,"['yi', 'ge', 'mei', 'gui', 'hua']","['ju-hua', 'hua']","{'word': '一个玫瑰花', 'pinyin': ""['yi', 'ge', 'mei', 'gui', 'hua']"", 'nearest': ['hua'], 'minDis': 0.0}",0,1,0
VE04000063,菊花、花,1618447292667T0401VE04000063VE010361618447625108,饿白色的花,0,0,1,4,0,嗯白色的花,"['en', 'bai', 'se', 'de', 'hua']","['ju-hua', 'hua']","{'word': '嗯白色的花', 'pinyin': ""['en', 'bai', 'se', 'de', 'hua']"", 'nearest': ['hua'], 'minDis': 0.0}",0,1,0
VE04000066,围裙、裙子,1364T0401VE04000066VE00164,这是裙子,0,0,1,3,1,这是几？,"['zhe', 'shi', 'ji']","['wei-qun', 'qun-zi']","{'word': '这是几？', 'pinyin': ""['zhe', 'shi', 'ji']"", 'nearest': ['shi', 'ji'], 'minDis': 2.5}",0,0,0
VE04000067,眼睛、眼球,1618279812882T0403VE04000067VE013611618280044199,这是眼睛,0,0,1,5,1,这是野猪,"['zhe', 'shi', 'ye', 'zhu']","['yan-jing', 'yan-qiu']","{'word': '这是野猪', 'pinyin': ""['zhe', 'shi', 'ye', 'zhu']"", 'nearest': ['ye', 'zhu'], 'minDis': 2.5}",0,0,0
VE04000068,锁,1618469200711T0401VE04000068VE013301618469320805,锁上门的东西,0,0,1,5,1,送上门的东西,"['song', 'shang', 'men', 'de', 'dong', 'xi']",['suo'],"{'word': '送上门的东西', 'pinyin': ""['song', 'shang', 'men', 'de', 'dong', 'xi']"", 'nearest': ['song'], 'minDis': 3.0}",0,0,0
VE04000069,羽毛,1618274322938T0405VE04000069VE005691618274713739,这是羽毛,0,0,0,5,1,这是什么？,"['zhe', 'shi', 'shen', 'me']",['yu-mao'],"{'word': '这是什么？', 'pinyin': ""['zhe', 'shi', 'shen', 'me']"", 'nearest': ['shen', 'me'], 'minDis': 3.0}",0,0,0
VE04000071,矮,1350T0504VE04000071VE00098,很矮,0,0,0,5,1,除,['chu'],['ai'],"{'word': '除', 'pinyin': ""['chu']"", 'nearest': ['chu'], 'minDis': 4.0}",0,0,0
VE04000072,流汗、出汗、热,1618198908833T0405VE04000072VE001911618199097913,他累了,0,0,1,5,0,太累了,"['tai', 'lei', 'le']","['liu-han', 'chu-han', 're']","{'word': '太累了', 'pinyin': ""['tai', 'lei', 'le']"", 'nearest': ['le'], 'minDis': 0.5}",0,1,0
VE04000072,流汗、出汗、热,1618299226861T0403VE04000072VE001911618299448888,汗了,0,0,0,3,0,看了,"['kan', 'le']","['liu-han', 'chu-han', 're']","{'word': '看了', 'pinyin': ""['kan', 'le']"", 'nearest': ['le'], 'minDis': 0.5}",0,1,0
VE04000075,快递员,1618294378869T0502VE04000075VE011991618294566179,送货员,0,0,0,5,1,送货员,"['song', 'huo', 'yuan']",['kuai-di-yuan'],"{'word': '送货员', 'pinyin': ""['song', 'huo', 'yuan']"", 'nearest': ['song', 'huo', 'yuan'], 'minDis': 2.3333333333333335}",0,0,0
VE04000075,快递员,1618450419482T0502VE04000075VE011991618450597742,他是话地员,0,0,0,3,1,他是话剧啊,"['ta', 'shi', 'hua', 'ju', 'a']",['kuai-di-yuan'],"{'word': '他是话剧啊', 'pinyin': ""['ta', 'shi', 'hua', 'ju', 'a']"", 'nearest': ['ta', 'shi', 'hua'], 'minDis': 2.3333333333333335}",0,0,0
VE04000080,长方形,1618468822007T0402VE04000080VE007061618469006394,方形,0,0,1,5,1,放心了,"['fang', 'xin', 'le']",['chang-fang-xing'],"{'word': '放心了', 'pinyin': ""['fang', 'xin', 'le']"", 'nearest': ['fang', 'xin', 'le'], 'minDis': 3.0}",0,0,0
VE04000081,握手,1618295835309T0404VE04000081VE006211618296018055,握握手,0,0,1,5,1,我想,"['wo', 'xiang']",['wo-shou'],"{'word': '我想', 'pinyin': ""['wo', 'xiang']"", 'nearest': ['wo', 'xiang'], 'minDis': 3.0}",0,0,0
VE04000088,短,1618274322938T0405VE04000088VE004841618274686342,是短的,0,0,1,5,1,的,['de'],['duan'],"{'word': '的', 'pinyin': ""['de']"", 'nearest': ['de'], 'minDis': 3.0}",0,0,0
VE04000095,细,1618469200711T0401VE04000095VE002011618469365193,很很,0,1,1,4,0,其他里面有什么呢有多少？,"['qi', 'ta', 'li', 'mian', 'you', 'shen', 'me', 'ni', 'you', 'duo', 'shao']",['xi'],"{'word': '其他里面有什么呢有多少？', 'pinyin': ""['qi', 'ta', 'li', 'mian', 'you', 'shen', 'me', 'ni', 'you', 'duo', 'shao']"", 'nearest': ['qi'], 'minDis': 0.8}",0,1,0
VE06000140,邮递员、送信,1342T0601VE06000140VE00850,/,luo4xin1dou3,0,0,1,0,用心的,"['yong', 'xin', 'de']","['you-di-yuan', 'song-xin']","{'word': '用心的', 'pinyin': ""['yong', 'xin', 'de']"", 'nearest': ['yong', 'xin'], 'minDis': 0.5}",0,1,0
VE06000140,邮递员、送信,1618194328063T0601VE06000140VE008501618194472488,寄信的,0,0,0,3,1,嗯记性的,"['en', 'ji', 'xing', 'de']","['you-di-yuan', 'song-xin']","{'word': '嗯记性的', 'pinyin': ""['en', 'ji', 'xing', 'de']"", 'nearest': ['ji', 'xing'], 'minDis': 2.25}",0,0,0
VE06000142,复杂、难、不简单,1618192048330T0605VE06000142VE007561618192297782,很难,0,0,0,3,1,什么,"['shen', 'me']","['fu-za', 'nan', 'bu-jian-dan']","{'word': '什么', 'pinyin': ""['shen', 'me']"", 'nearest': ['shen'], 'minDis': 3.0}",0,0,0
VE06000145,帐篷,1341T0602VE06000145VE00793,帐篷,0,0,0,2,1,这样跑了,"['zhe', 'yang', 'pao', 'le']",['zhang-peng'],"{'word': '这样跑了', 'pinyin': ""['zhe', 'yang', 'pao', 'le']"", 'nearest': ['zhe', 'yang'], 'minDis': 2.5}",0,0,0
VE06000145,帐篷,1345T0603VE06000145VE00793,帐篷,0,0,0,3,1,这样的噢,"['zhe', 'yang', 'de', 'o']",['zhang-peng'],"{'word': '这样的噢', 'pinyin': ""['zhe', 'yang', 'de', 'o']"", 'nearest': ['zhe', 'yang'], 'minDis': 2.5}",0,0,0
VE06000145,帐篷,1618453584002T0602VE06000145VE007931618453770756,帐篷,0,0,0,2,1,让跑,"['rang', 'pao']",['zhang-peng'],"{'word': '让跑', 'pinyin': ""['rang', 'pao']"", 'nearest': ['rang', 'pao'], 'minDis': 2.5}",0,0,0
VE06000150,秋天 ,1618275960253T0604VE06000150VE002211618276231987,秋天,0,0,0,3,1,初始,"['chu', 'shi']",['qiu-tian'],"{'word': '初始', 'pinyin': ""['chu', 'shi']"", 'nearest': ['chu', 'shi'], 'minDis': 3.5}",0,0,0
VE06000151,棕色,1618191717238T0604VE06000151VE002351618191914559,棕色,0,0,0,2,1,就是,"['jiu', 'shi']",['zong-se'],"{'word': '就是', 'pinyin': ""['jiu', 'shi']"", 'nearest': ['jiu', 'shi'], 'minDis': 3.0}",0,0,0
VE06000151,棕色,1618275960253T0604VE06000151VE002351618276167990,红色吧,0,0,0,4,0,红色吧,"['hong', 'se', 'ba']",['zong-se'],"{'word': '红色吧', 'pinyin': ""['hong', 'se', 'ba']"", 'nearest': ['hong', 'se'], 'minDis': 0.5}",0,1,0
VE06000151,棕色,1618279332680T0601VE06000151VE002351618279584430,棕色,0,0,0,4,0,棕色,"['zong', 'se']",['zong-se'],"{'word': '棕色', 'pinyin': ""['zong', 'se']"", 'nearest': ['zong', 'se'], 'minDis': 0.0}",0,1,0
VE06000152,衣柜、柜子,1345T0603VE06000152VE00791,柜子,0,0,0,2,1,为什么？,"['wei', 'shen', 'me']","['yi-gui', 'gui-zi']","{'word': '为什么？', 'pinyin': ""['wei', 'shen', 'me']"", 'nearest': ['wei', 'shen'], 'minDis': 2.7}",0,0,0
VE06000156,工程师、建筑师、图,1342T0601VE06000156VE00237,/,you1yuan3,0,0,1,0,都有啊,"['du', 'you', 'a']","['gong-cheng-shi', 'jian-zhu-shi', 'tu']","{'word': '都有啊', 'pinyin': ""['du', 'you', 'a']"", 'nearest': ['du'], 'minDis': 0.9}",0,1,0
VE06000157,十二,1618194328063T0601VE06000157VE005551618194525367,十二个气,0,0,0,4,1,个气球,"['ge', 'qi', 'qiu']",['shi-er'],"{'word': '个气球', 'pinyin': ""['ge', 'qi', 'qiu']"", 'nearest': ['qi', 'qiu'], 'minDis': 2.5}",0,0,0
VE06000157,十二,1618279332680T0601VE06000157VE005551618279569550,十二个气球,0,0,0,4,1,个气球,"['ge', 'qi', 'qiu']",['shi-er'],"{'word': '个气球', 'pinyin': ""['ge', 'qi', 'qiu']"", 'nearest': ['qi', 'qiu'], 'minDis': 2.5}",0,0,0
VE06000157,十二,1618455059969T0601VE06000157VE005551618455266670,十二个气,0,0,0,4,1,个技巧,"['ge', 'ji', 'qiao']",['shi-er'],"{'word': '个技巧', 'pinyin': ""['ge', 'ji', 'qiao']"", 'nearest': ['ji', 'qiao'], 'minDis': 3.0}",0,0,0
VE06000159,夏季、夏天,1618194888019T0603VE06000159VE001501618195110561,这是秋天 ,0,0,0,5,0,这是秋天,"['zhe', 'shi', 'qiu', 'tian']","['xia-ji', 'xia-tian']","{'word': '这是秋天', 'pinyin': ""['zhe', 'shi', 'qiu', 'tian']"", 'nearest': ['qiu', 'tian'], 'minDis': 0.9}",0,1,0
VE06000159,夏季、夏天,1618280487348T0603VE06000159VE001501618280735285,秋天,0,0,0,1,0,秋天,"['qiu', 'tian']","['xia-ji', 'xia-tian']","{'word': '秋天', 'pinyin': ""['qiu', 'tian']"", 'nearest': ['qiu', 'tian'], 'minDis': 0.9}",0,1,0
VE06000159,夏季、夏天,1618451774229T0605VE06000159VE001501618451953693,这是秋天 ,0,0,0,4,0,这是秋天,"['zhe', 'shi', 'qiu', 'tian']","['xia-ji', 'xia-tian']","{'word': '这是秋天', 'pinyin': ""['zhe', 'shi', 'qiu', 'tian']"", 'nearest': ['qiu', 'tian'], 'minDis': 0.9}",0,1,0
VE06000161,整齐、干净,1618454475187T0501VE06000161VE008031618454701095,不乱,0,0,0,4,1,不乱,"['bu', 'luan']","['zheng-qi', 'gan-jing']","{'word': '不乱', 'pinyin': ""['bu', 'luan']"", 'nearest': ['bu', 'luan'], 'minDis': 3.5}",0,0,0
VE06000163,钟、表、时钟、闹钟,1618192048330T0605VE06000163VE009781618192219065,闹钟,0,0,0,4,1,那就,"['na', 'jiu']","['zhong', 'biao', 'shi-zhong', 'nao-zhong']","{'word': '那就', 'pinyin': ""['na', 'jiu']"", 'nearest': ['na'], 'minDis': 3.0}",0,0,0
VE06000164,梳子,1618452409584T0603VE06000164VE000011618452601132,梳子,0,0,0,3,1,初中,"['chu', 'zhong']",['shu-zi'],"{'word': '初中', 'pinyin': ""['chu', 'zhong']"", 'nearest': ['chu', 'zhong'], 'minDis': 2.3}",0,0,0
VE07000432,对联、过年、春联,1618453584002T0602VE07000432VE003871618453820059,门贴的是一张纸条,0,0,0,4,1,门贴的是一张纸条,"['men', 'tie', 'de', 'shi', 'yi', 'zhang', 'zhi', 'tiao']","['dui-lian', 'guo-nian', 'chun-lian']","{'word': '门贴的是一张纸条', 'pinyin': ""['men', 'tie', 'de', 'shi', 'yi', 'zhang', 'zhi', 'tiao']"", 'nearest': ['zhi', 'tiao'], 'minDis': 2.4}",0,0,0
VE05000098,举、运动,1618454475187T0501VE05000098VE012071618454583981,在,0,0,1,5,1,在,['zai'],"['ju', 'yun-dong']","{'word': '在', 'pinyin': ""['zai']"", 'nearest': ['zai'], 'minDis': 3.0}",0,0,0
VE05000099,放大镜,1618450419482T0502VE05000099VE001381618450619207,这个是画大计,0,0,0,2,1,这个是花大气,"['zhe', 'ge', 'shi', 'hua', 'da', 'qi']",['fang-da-jing'],"{'word': '这个是花大气', 'pinyin': ""['zhe', 'ge', 'shi', 'hua', 'da', 'qi']"", 'nearest': ['hua', 'da', 'qi'], 'minDis': 2.3000000000000003}",0,0,0
VE05000102,铁路、轨道、铁轨,1618278205081T0605VE05000102VE006581618278346817,火车的，火车开的路,0,0,0,5,0,火车的火车开的路,"['huo', 'che', 'de', 'huo', 'che', 'kai', 'de', 'lu']","['tie-lu', 'gui-dao', 'tie-gui']","{'word': '火车的火车开的路', 'pinyin': ""['huo', 'che', 'de', 'huo', 'che', 'kai', 'de', 'lu']"", 'nearest': ['de', 'lu'], 'minDis': 0.95}",0,1,0
VE05000102,铁路、轨道、铁轨,1618278587855T0605VE05000102VE006581618278867264,火车的路,0,0,0,5,0,火车的路,"['huo', 'che', 'de', 'lu']","['tie-lu', 'gui-dao', 'tie-gui']","{'word': '火车的路', 'pinyin': ""['huo', 'che', 'de', 'lu']"", 'nearest': ['de', 'lu'], 'minDis': 0.95}",0,1,0
VE05000110,蜗牛,1350T0504VE05000110VE00011,蜗牛,0,0,0,4,1,光明路,"['guang', 'ming', 'lu']",['gua-niu'],"{'word': '光明路', 'pinyin': ""['guang', 'ming', 'lu']"", 'nearest': ['guang', 'ming'], 'minDis': 2.5}",0,0,0
VE05000110,蜗牛,1618283790419T0504VE05000110VE000111618283957932,这是蜗牛,0,0,0,5,1,这是,"['zhe', 'shi']",['gua-niu'],"{'word': '这是', 'pinyin': ""['zhe', 'shi']"", 'nearest': ['zhe', 'shi'], 'minDis': 3.5}",0,0,0
VE05000110,蜗牛,1618298013833T0501VE05000110VE000111618298251291,摸油,0,0,1,3,1,没有,"['mei', 'you']",['gua-niu'],"{'word': '没有', 'pinyin': ""['mei', 'you']"", 'nearest': ['mei', 'you'], 'minDis': 2.45}",0,0,0
VE05000110,蜗牛,1618450064906T0504VE05000110VE000111618450223642,蜗牛,0,0,0,5,1,我女儿,"['wo', 'nv', 'er']",['gua-niu'],"{'word': '我女儿', 'pinyin': ""['wo', 'nv', 'er']"", 'nearest': ['wo', 'nv'], 'minDis': 2.5}",0,0,0
VE05000110,蜗牛,1618455362593T0504VE05000110VE000111618455485098,蜗牛,0,0,0,5,1,我女儿,"['wo', 'nv', 'er']",['gua-niu'],"{'word': '我女儿', 'pinyin': ""['wo', 'nv', 'er']"", 'nearest': ['wo', 'nv'], 'minDis': 2.5}",0,0,0
VE05000112,红色,1618455362593T0504VE05000112VE000621618455477150,红丝,0,0,1,3,1,可是,"['ke', 'shi']",['hong-se'],"{'word': '可是', 'pinyin': ""['ke', 'shi']"", 'nearest': ['ke', 'shi'], 'minDis': 3.0}",0,0,0
VE05000117,蜻蜓,1618298310027T0503VE05000117VE000461618298506109,蜻蜓,0,0,1,3,1,天体,"['tian', 'ti']",['qing-ting'],"{'word': '天体', 'pinyin': ""['tian', 'ti']"", 'nearest': ['tian', 'ti'], 'minDis': 2.5}",0,0,0
VE05000125,迟、晚,1346T0502VE05000125VE01260,老师说同学,0,0,0,5,0,老师说同学,"['lao', 'shi', 'shuo', 'tong', 'xue']","['chi', 'wan']","{'word': '老师说同学', 'pinyin': ""['lao', 'shi', 'shuo', 'tong', 'xue']"", 'nearest': ['shi'], 'minDis': 0.8}",0,1,0
VE05000129,刺,1618470847973T0403VE05000129VE002591618471056519,这是气人树,0,0,0,3,0,就是吃人数,"['jiu', 'shi', 'chi', 'ren', 'shu']",['ci'],"{'word': '就是吃人数', 'pinyin': ""['jiu', 'shi', 'chi', 'ren', 'shu']"", 'nearest': ['chi'], 'minDis': 0.8}",0,1,0
VE05000130,电池,1342T0601VE05000130VE00404,戒尺,0,0,1,3,0,坚持,"['jian', 'chi']",['dian-chi'],"{'word': '坚持', 'pinyin': ""['jian', 'chi']"", 'nearest': ['jian', 'chi'], 'minDis': 0.5}",0,1,0
VE05000136,影子,1618193100995T0604VE05000136VE001561618193285887,影子,0,0,1,5,1,组织,"['zu', 'zhi']",['ying-zi'],"{'word': '组织', 'pinyin': ""['zu', 'zhi']"", 'nearest': ['zu', 'zhi'], 'minDis': 2.4}",0,0,0
VE05000137,胳膊、胳膊肘、手肘,1618454164862T0503VE05000137VE006111618454304973,手臂,0,0,0,5,1,手臂,"['shou', 'bi']","['ge-bo', 'ge-bo-zhou', 'shou-zhou']","{'word': '手臂', 'pinyin': ""['shou', 'bi']"", 'nearest': ['shou', 'bi'], 'minDis': 2.6}",0,0,0
VE05000138,旧,1618453029145T0602VE05000138VE011901618453139127,很脏,0,0,0,3,1,可知道,"['ke', 'zhi', 'dao']",['jiu'],"{'word': '可知道', 'pinyin': ""['ke', 'zhi', 'dao']"", 'nearest': ['ke'], 'minDis': 3.0}",0,0,0
VE02000005,铃铛,1655T0404VE02000005VE00957,梨当,0,0,1,4,1,什么你的,"['shen', 'me', 'ni', 'de']",['ling-dang'],"{'word': '什么你的', 'pinyin': ""['shen', 'me', 'ni', 'de']"", 'nearest': ['ni', 'de'], 'minDis': 2.65}",0,0,0
VE02000005,铃铛,1619143494553T0404VE02000005VE009571619143688868,铃铛,0,0,1,5,1,那都,"['na', 'du']",['ling-dang'],"{'word': '那都', 'pinyin': ""['na', 'du']"", 'nearest': ['na', 'du'], 'minDis': 3.15}",0,0,0
VE02000005,铃铛,1619146972584T0404VE02000005VE009571619147143512,铃铛,0,1,1,4,1,谁知,"['shui', 'zhi']",['ling-dang'],"{'word': '谁知', 'pinyin': ""['shui', 'zhi']"", 'nearest': ['shui', 'zhi'], 'minDis': 5.0}",0,0,0
VE02000012,撕,1619143370389T0303VE02000012VE008911619143692527,他弄纸弄烂了,0,0,1,4,0,他他他都弄死弄烂了,"['ta', 'ta', 'ta', 'du', 'nong', 'si', 'nong', 'lan', 'le']",['si'],"{'word': '他他他都弄死弄烂了', 'pinyin': ""['ta', 'ta', 'ta', 'du', 'nong', 'si', 'nong', 'lan', 'le']"", 'nearest': ['si'], 'minDis': 0.0}",0,1,0
VE02000012,撕,1619151774789T0503VE02000012VE008911619151935937,在玩紫,0,0,1,2,0,是丸子,"['shi', 'wan', 'zi']",['si'],"{'word': '是丸子', 'pinyin': ""['shi', 'wan', 'zi']"", 'nearest': ['shi'], 'minDis': 0.8}",0,1,0
VE02000012,撕,1619159108358T0403VE02000012VE008911619159351330,撕树叶,0,0,1,3,0,是不是呀,"['shi', 'bu', 'shi', 'ya']",['si'],"{'word': '是不是呀', 'pinyin': ""['shi', 'bu', 'shi', 'ya']"", 'nearest': ['shi'], 'minDis': 0.8}",0,1,0
VE03000018,蹦床、跳床,1619140774883T0604VE03000018VE006141619140904460,蹦床,0,1,1,4,1,这是个什么？啊,"['zhe', 'shi', 'ge', 'shen', 'me', 'a']","['beng-chuang', 'tiao-chuang']","{'word': '这是个什么？啊', 'pinyin': ""['zhe', 'shi', 'ge', 'shen', 'me', 'a']"", 'nearest': ['ge', 'shen'], 'minDis': 3.4}",0,0,0
VE03000018,蹦床、跳床,1619144248468T0404VE03000018VE006141619144407037,蹦床,0,0,1,5,1,报仇,"['bao', 'chou']","['beng-chuang', 'tiao-chuang']","{'word': '报仇', 'pinyin': ""['bao', 'chou']"", 'nearest': ['bao', 'chou'], 'minDis': 3.0}",0,0,0
VE03000020,跳舞,1619158045068T0405VE03000020VE012861619158161178,舞蹈,0,1,1,5,1,舞蹈,"['wu', 'dao']",['tiao-wu'],"{'word': '舞蹈', 'pinyin': ""['wu', 'dao']"", 'nearest': ['wu', 'dao'], 'minDis': 3.5}",0,0,0
VE03000026,茶壶,1619140583323T0301VE03000026VE002001619140856142,壶,0,1,1,4,1,明白了？没有？,"['ming', 'bai', 'le', 'mei', 'you']",['cha-hu'],"{'word': '明白了？没有？', 'pinyin': ""['ming', 'bai', 'le', 'mei', 'you']"", 'nearest': ['bai', 'le'], 'minDis': 2.6}",0,0,0
