图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音
VE06000142,复杂、难、不简单,1618278205081T0605VE06000142VE007561618278435258,不简单,否,否,否,4,是,不简单,"['bu', 'jian', 'dan']"
VE06000142,复杂、难、不简单,1618278587855T0605VE06000142VE007561618278964476,那个图案很难,否,否,否,4,是,那个图案很难,"['na', 'ge', 'tu', 'an', 'hen', 'nan']"
VE06000142,复杂、难、不简单,1618280487348T0603VE06000142VE007561618280676055,很难,否,否,否,3,是,很难,"['hen', 'nan']"
VE06000142,复杂、难、不简单,1618281729843T0603VE06000142VE007561618281892331,很难,否,否,否,4,是,很难,"['hen', 'nan']"
VE06000142,复杂、难、不简单,1618283377735T0503VE06000142VE007561618283698197,这个很难,否,是,否,4,是,这个很难,"['zhe', 'ge', 'hen', 'nan']"
VE06000142,复杂、难、不简单,1618294378869T0502VE06000142VE007561618294632171,难,否,否,否,2,是,男,['nan']
VE06000142,复杂、难、不简单,1618295228848T0605VE06000142VE007561618295565135,很难,否,否,否,4,是,很难,"['hen', 'nan']"
VE06000142,复杂、难、不简单,1618297471484T0502VE06000142VE007561618297758000,难,否,否,否,3,是,男,['nan']
VE06000142,复杂、难、不简单,1618298310027T0503VE06000142VE007561618298552577,难,否,否,否,3,是,啊,['a']
VE06000142,复杂、难、不简单,1618447854715T0605VE06000142VE007561618448069834,难,否,否,否,2,是,很难,"['hen', 'nan']"
VE06000142,复杂、难、不简单,1618449325726T0603VE06000142VE007561618449484395,很难,否,是,否,3,是,再来一遍很难,"['zai', 'lai', 'yi', 'bian', 'hen', 'nan']"
VE06000142,复杂、难、不简单,1618450419482T0502VE06000142VE007561618450668446,那个图案很难的,否,否,否,3,是,那个图案很难的,"['na', 'ge', 'tu', 'an', 'hen', 'nan', 'de']"
VE06000142,复杂、难、不简单,1618450727708T0503VE06000142VE007561618450972515,难,否,否,否,2,是,嗯,['en']
VE06000142,复杂、难、不简单,1618451774229T0605VE06000142VE007561618451981287,很难,否,否,否,3,是,很难,"['hen', 'nan']"
VE06000142,复杂、难、不简单,1618452409584T0603VE06000142VE007561618452576649,很难,否,否,否,2,是,最后再转换很难,"['zui', 'hou', 'zai', 'zhuan', 'huan', 'hen', 'nan']"
VE06000142,复杂、难、不简单,1618453308633T0605VE06000142VE007561618453504909,很复杂很难,否,否,否,4,是,很复杂很难,"['hen', 'fu', 'za', 'hen', 'nan']"
VE06000142,复杂、难、不简单,1618454164862T0503VE06000142VE007561618454399791,很难,否,否,否,4,是,很难,"['hen', 'nan']"
VE06000142,复杂、难、不简单,1618454746850T0603VE06000142VE007561618454903205,这个图很简单另外一个图很难,否,否,否,5,是,这个图很简单，另外一个图很难,"['zhe', 'ge', 'tu', 'hen', 'jian', 'dan', 'ling', 'wai', 'yi', 'ge', 'tu', 'hen', 'nan']"
VE06000143,铁锹、铲子,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE06000143,铁锹、铲子,1342T0601VE06000143VE01075,铲子,否,否,否,3,是,铲子,"['chan', 'zi']"
VE06000143,铁锹、铲子,1348T0601VE06000143VE01075,这是铲子,否,否,否,4,是,这是惨死,"['zhe', 'shi', 'can', 'si']"
VE06000143,铁锹、铲子,1618190311406T0601VE06000143VE010751618190640295,铲子,否,否,否,4,是,铲子,"['chan', 'zi']"
VE06000143,铁锹、铲子,1618194328063T0601VE06000143VE010751618194506282,/,an3zi,否,否,2,是,案子,"['an', 'zi']"
VE06000143,铁锹、铲子,1618276501878T0601VE06000143VE010751618276772456,铲子,否,否,否,5,是,铲子,"['chan', 'zi']"
VE06000143,铁锹、铲子,1618279332680T0601VE06000143VE010751618279544821,铲子,否,否,否,3,是,铲子,"['chan', 'zi']"
VE06000143,铁锹、铲子,1618449720214T0601VE06000143VE010751618449919548,这是铲子,否,否,否,3,是,这是铲子,"['zhe', 'shi', 'chan', 'zi']"
VE06000143,铁锹、铲子,1618452037246T0601VE06000143VE010751618452197311,/,否,否,否,0,否,这是多少？,"['zhe', 'shi', 'duo', 'shao']"
VE06000143,铁锹、铲子,1618455059969T0601VE06000143VE010751618455241953,把铲,否,否,否,2,是,把铲子,"['ba', 'chan', 'zi']"
VE06000144,柳树、杨柳,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE06000144,柳树、杨柳,1342T0601VE06000144VE00613,枯树,否,否,否,3,否,苦处,"['ku', 'chu']"
VE06000144,柳树、杨柳,1344T0604VE06000144VE00613,柳树,否,否,否,4,是,柳树,"['liu', 'shu']"
VE06000144,柳树、杨柳,1348T0601VE06000144VE00613,柳树,否,否,否,3,是,柳树,"['liu', 'shu']"
VE06000144,柳树、杨柳,1618190311406T0601VE06000144VE006131618190687522,柳树,否,否,否,5,是,没有树,"['mei', 'you', 'shu']"
VE06000144,柳树、杨柳,1618191717238T0604VE06000144VE006131618191918792,这个是枯树,否,否,否,4,否,这个是哭诉,"['zhe', 'ge', 'shi', 'ku', 'su']"
VE06000144,柳树、杨柳,1618193100995T0604VE06000144VE006131618193314339,枯树,否,否,否,3,否,枯树,"['ku', 'shu']"
VE06000144,柳树、杨柳,1618194328063T0601VE06000144VE006131618194539886,长叶吗,否,否,否,3,否,长夜吗？,"['chang', 'ye', 'ma']"
VE06000144,柳树、杨柳,1618275960253T0604VE06000144VE006131618276174273,一个树吧,否,否,否,3,否,一个树吧,"['yi', 'ge', 'shu', 'ba']"
VE06000144,柳树、杨柳,1618276501878T0601VE06000144VE006131618276873542,柳树,否,否,否,3,是,柳树,"['liu', 'shu']"
VE06000144,柳树、杨柳,1618279332680T0601VE06000144VE006131618279589698,柳树,否,否,否,5,是,柳树,"['liu', 'shu']"
VE06000144,柳树、杨柳,1618280905927T0604VE06000144VE006131618281096002,这是一棵树,否,否,否,3,否,这是一棵树,"['zhe', 'shi', 'yi', 'ke', 'shu']"
VE06000144,柳树、杨柳,1618282136024T0604VE06000144VE006131618282340586,树,否,否,否,5,否,,['']
VE06000144,柳树、杨柳,1618295615703T0604VE06000144VE006131618295853789,柳树,否,否,否,4,是,柳树,"['liu', 'shu']"
VE06000144,柳树、杨柳,1618448900511T0604VE06000144VE006131618449083627,树,否,否,否,3,否,树,['shu']
VE06000144,柳树、杨柳,1618449720214T0601VE06000144VE006131618449977882,这个是个树,否,否,否,2,否,这个是一个,"['zhe', 'ge', 'shi', 'yi', 'ge']"
VE06000144,柳树、杨柳,1618452037246T0601VE06000144VE006131618452243661,这是树,否,否,否,4,否,这是,"['zhe', 'shi']"
VE06000144,柳树、杨柳,1618452740249T0604VE06000144VE006131618452917161,树,否,否,否,4,否,树,['shu']
VE06000144,柳树、杨柳,1618455059969T0601VE06000144VE006131618455284146,柳树,否,否,否,3,是,另有数,"['ling', 'you', 'shu']"
VE06000144,柳树、杨柳,1618455677099T0604VE06000144VE006131618455836022,树,否,否,否,5,否,树,['shu']
VE06000145,帐篷,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE06000145,帐篷,1341T0602VE06000145VE00793,帐篷,否,否,否,2,是,这样跑了,"['zhe', 'yang', 'pao', 'le']"
VE06000145,帐篷,1345T0603VE06000145VE00793,帐篷,否,否,否,3,是,这样的噢,"['zhe', 'yang', 'de', 'o']"
VE06000145,帐篷,1349T0603VE06000145VE00793,帐篷,否,否,否,4,是,帐篷,"['zhang', 'peng']"
VE06000145,帐篷,1618188869654T0603VE06000145VE007931618189079853,露营的帐篷,否,否,否,5,是,露营的丈夫,"['lu', 'ying', 'de', 'zhang', 'fu']"
VE06000145,帐篷,1618189717760T0602VE06000145VE007931618189903154,帐篷,否,否,否,4,是,,['']
VE06000145,帐篷,1618193735771T0602VE06000145VE007931618193889711,帐篷,否,否,否,5,是,,['']
VE06000145,帐篷,1618194888019T0603VE06000145VE007931618195062053,帐篷,否,否,否,5,是,帐篷,"['zhang', 'peng']"
VE06000145,帐篷,1618195512593T0603VE06000145VE007931618195649671,/,否,否,否,0,否,,['']
VE06000145,帐篷,1618196018573T0602VE06000145VE007931618196227538,帐篷,否,否,否,4,是,帐篷,"['zhang', 'peng']"
VE06000145,帐篷,1618279667480T0602VE06000145VE007931618279860522,帐篷,否,否,否,3,是,,['']
VE06000145,帐篷,1618280487348T0603VE06000145VE007931618280689051,篷,否,否,否,2,是,很,['hen']
VE06000145,帐篷,1618281729843T0603VE06000145VE007931618281912931,这是帐篷,否,否,否,4,是,这是帐篷,"['zhe', 'shi', 'zhang', 'peng']"
VE06000145,帐篷,1618282675120T0602VE06000145VE007931618282840707,/,否,否,否,0,否,,['']
VE06000145,帐篷,1618449325726T0603VE06000145VE007931618449502157,/,eng4,否,否,1,否,嗯嗯,"['en', 'en']"
VE06000145,帐篷,1618451426336T0602VE06000145VE007931618451581923,/,ang4beng,否,否,1,否,好不好？,"['hao', 'bu', 'hao']"
VE06000145,帐篷,1618452409584T0603VE06000145VE007931618452592873,/,否,否,否,0,否,,['']
VE06000145,帐篷,1618453029145T0602VE06000145VE007931618453182607,篷,否,否,否,2,否,后,['hou']
VE06000145,帐篷,1618453584002T0602VE06000145VE007931618453770756,帐篷,否,否,否,2,是,让跑,"['rang', 'pao']"
VE06000145,帐篷,1618454746850T0603VE06000145VE007931618454923037,这是帐,否,否,否,2,是,这是帐篷,"['zhe', 'shi', 'zhang', 'peng']"
VE06000146,面孔、脸颊、脸,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE06000146,面孔、脸颊、脸,1342T0601VE06000146VE01010,女人,否,否,否,2,否,嗯嗯嗯,"['en', 'en', 'en']"
VE06000146,面孔、脸颊、脸,1344T0604VE06000146VE01010,人,否,否,否,4,否,人,['ren']
VE06000146,面孔、脸颊、脸,1348T0601VE06000146VE01010,这是人的脸,否,否,否,4,是,这是，人的脸,"['zhe', 'shi', 'ren', 'de', 'lian']"
VE06000146,面孔、脸颊、脸,1618190311406T0601VE06000146VE010101618190712343,人脸呀,否,否,否,3,是,人脸呀,"['ren', 'lian', 'ya']"
VE06000146,面孔、脸颊、脸,1618191717238T0604VE06000146VE010101618191936014,人头,否,否,否,4,是,,['']
VE06000146,面孔、脸颊、脸,1618193100995T0604VE06000146VE010101618193330793,不是脸蛋吗,否,否,否,3,是,不是脸蛋吗？,"['bu', 'shi', 'lian', 'dan', 'ma']"
VE06000146,面孔、脸颊、脸,1618194328063T0601VE06000146VE010101618194556261,眼睛,否,否,否,4,否,眼睛,"['yan', 'jing']"
VE06000146,面孔、脸颊、脸,1618275960253T0604VE06000146VE010101618276190904,人头,否,否,否,2,否,,['']
VE06000146,面孔、脸颊、脸,1618276501878T0601VE06000146VE010101618276889187,头,否,否,否,4,否,头,['tou']
VE06000146,面孔、脸颊、脸,1618279332680T0601VE06000146VE010101618279605731,头,否,否,否,3,否,头,['tou']
VE06000146,面孔、脸颊、脸,1618280905927T0604VE06000146VE010101618281119228,这是脸,否,否,否,2,是,这是你啊,"['zhe', 'shi', 'ni', 'a']"
VE06000146,面孔、脸颊、脸,1618282136024T0604VE06000146VE010101618282354743,脸,否,否,否,3,是,,['']
VE06000146,面孔、脸颊、脸,1618295615703T0604VE06000146VE010101618295870677,人脸呀,否,否,否,3,是,人脸,"['ren', 'lian']"
VE06000146,面孔、脸颊、脸,1618448900511T0604VE06000146VE010101618449099417,人头,否,否,否,3,否,人头,"['ren', 'tou']"
VE06000146,面孔、脸颊、脸,1618449720214T0601VE06000146VE010101618449999107,这是人的头,否,否,否,3,否,这是人这头,"['zhe', 'shi', 'ren', 'zhe', 'tou']"
VE06000146,面孔、脸颊、脸,1618452037246T0601VE06000146VE010101618452261461,/,否,否,否,0,否,然后他开始有多少多少天？呢一筐一篮,"['ran', 'hou', 'ta', 'kai', 'shi', 'you', 'duo', 'shao', 'duo', 'shao', 'tian', 'ni', 'yi', 'kuang', 'yi', 'lan']"
VE06000146,面孔、脸颊、脸,1618452740249T0604VE06000146VE010101618452931606,头,否,否,否,4,否,头,['tou']
VE06000146,面孔、脸颊、脸,1618455059969T0601VE06000146VE010101618455299313,/,否,否,否,0,否,,['']
VE06000146,面孔、脸颊、脸,1618455677099T0604VE06000146VE010101618455853012,人,否,否,否,3,否,人,['ren']
VE06000147,天鹅、鹅,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE06000147,天鹅、鹅,1344T0604VE06000147VE00216,天鹅,否,否,否,3,是,,['']
VE06000147,天鹅、鹅,1347T0605VE06000147VE00216,这是天鹅,否,否,否,4,是,这是天鹅,"['zhe', 'shi', 'tian', 'e']"
VE06000147,天鹅、鹅,1618191717238T0604VE06000147VE002161618191954544,天鹅,否,否,否,3,是,天鹅,"['tian', 'e']"
VE06000147,天鹅、鹅,1618192048330T0605VE06000147VE002161618192223060,/,否,否,否,0,否,,['']
VE06000147,天鹅、鹅,1618192544946T0605VE06000147VE002161618192694804,天鹅,否,是,否,3,是,来点天鹅,"['lai', 'dian', 'tian', 'e']"
VE06000147,天鹅、鹅,1618193100995T0604VE06000147VE002161618193347354,天鹅,否,否,否,3,是,天鹅,"['tian', 'e']"
VE06000147,天鹅、鹅,1618275960253T0604VE06000147VE002161618276206301,鹅,否,否,否,2,是,呃,['e']
VE06000147,天鹅、鹅,1618278205081T0605VE06000147VE002161618278365017,这是白天鹅,否,否,否,5,是,这是白天鹅,"['zhe', 'shi', 'bai', 'tian', 'e']"
VE06000147,天鹅、鹅,1618278587855T0605VE06000147VE002161618278887318,白天鹅,否,否,否,4,是,白天鹅,"['bai', 'tian', 'e']"
VE06000147,天鹅、鹅,1618280905927T0604VE06000147VE002161618281135253,这是天鹅,否,否,否,3,是,是天鹅,"['shi', 'tian', 'e']"
VE06000147,天鹅、鹅,1618282136024T0604VE06000147VE002161618282369568,鹅,否,否,否,4,是,和,['he']
VE06000147,天鹅、鹅,1618295228848T0605VE06000147VE002161618295474841,这是鹅,否,否,否,4,是,这是,"['zhe', 'shi']"
VE06000147,天鹅、鹅,1618295615703T0604VE06000147VE002161618295887755,白鹅,否,否,否,5,是,,['']
VE06000147,天鹅、鹅,1618447854715T0605VE06000147VE002161618448004261,鹅,否,否,否,2,是,嗯,['en']
VE06000147,天鹅、鹅,1618448900511T0604VE06000147VE002161618449118809,/,否,否,否,0,否,,['']
VE06000147,天鹅、鹅,1618451774229T0605VE06000147VE002161618451911043,天鹅,否,否,否,3,是,天鹅,"['tian', 'e']"
VE06000147,天鹅、鹅,1618452740249T0604VE06000147VE002161618452949515,鹅,否,否,否,3,是,额,['e']
VE06000147,天鹅、鹅,1618453308633T0605VE06000147VE002161618453425558,这是白鹅,否,否,否,4,是,这是白鹅,"['zhe', 'shi', 'bai', 'e']"
VE06000147,天鹅、鹅,1618455677099T0604VE06000147VE002161618455868906,鹅,否,否,否,3,是,和,['he']
VE06000148,信封、信,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE06000148,信封、信,1341T0602VE06000148VE00540,箱子,否,否,否,4,否,箱子,"['xiang', 'zi']"
VE06000148,信封、信,1342T0601VE06000148VE00540,箱子,否,否,否,3,否,香皂,"['xiang', 'zao']"
VE06000148,信封、信,1348T0601VE06000148VE00540,这是快递,否,否,否,5,否,这是快递,"['zhe', 'shi', 'kuai', 'di']"
VE06000148,信封、信,1618189717760T0602VE06000148VE005401618189920297,纸,否,否,否,3,否,子,['zi']
VE06000148,信封、信,1618190311406T0601VE06000148VE005401618190536727,/,否,否,否,0,否,嗯,['en']
VE06000148,信封、信,1618193735771T0602VE06000148VE005401618193910911,快递箱,否,否,否,5,否,快递箱,"['kuai', 'di', 'xiang']"
VE06000148,信封、信,1618194328063T0601VE06000148VE005401618194459252,快递的吧,否,否,否,2,否,快递的吧,"['kuai', 'di', 'de', 'ba']"
VE06000148,信封、信,1618196018573T0602VE06000148VE005401618196240676,子,否,否,否,1,否,对,['dui']
VE06000148,信封、信,1618276501878T0601VE06000148VE005401618276683299,不知道,否,否,否,2,否,我不知道,"['wo', 'bu', 'zhi', 'dao']"
VE06000148,信封、信,1618279332680T0601VE06000148VE005401618279496993,/,否,否,否,0,否,谁知,"['shui', 'zhi']"
VE06000148,信封、信,1618279667480T0602VE06000148VE005401618279879766,/,否,否,否,0,否,谁知,"['shui', 'zhi']"
VE06000148,信封、信,1618282675120T0602VE06000148VE005401618282853605,递,否,否,否,1,否,一,['yi']
VE06000148,信封、信,1618449720214T0601VE06000148VE005401618449866941,它是一个信,否,否,否,3,是,这是一个姓,"['zhe', 'shi', 'yi', 'ge', 'xing']"
VE06000148,信封、信,1618451426336T0602VE06000148VE005401618451602619,/,dai4ji1jia1,否,否,1,否,在即将,"['zai', 'ji', 'jiang']"
VE06000148,信封、信,1618452037246T0601VE06000148VE005401618452152509,这是信,否,否,否,4,是,这是信,"['zhe', 'shi', 'xin']"
VE06000148,信封、信,1618453029145T0602VE06000148VE005401618453198465,这是一个箱子,否,否,否,3,否,就是一个瞎子,"['jiu', 'shi', 'yi', 'ge', 'xia', 'zi']"
VE06000148,信封、信,1618453584002T0602VE06000148VE005401618453787194,这是一个箱子,否,否,否,4,否,这是一个箱子,"['zhe', 'shi', 'yi', 'ge', 'xiang', 'zi']"
VE06000148,信封、信,1618455059969T0601VE06000148VE005401618455192690,一张纸,否,否,否,3,否,一张纸,"['yi', 'zhang', 'zhi']"
VE06000149,本,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE06000149,本,1344T0604VE06000149VE00280,一本一本,否,否,否,3,是,,['']
VE06000149,本,1347T0605VE06000149VE00280,书是一本一本的,否,否,否,5,是,书是一本一本的,"['shu', 'shi', 'yi', 'ben', 'yi', 'ben', 'de']"
VE06000149,本,1618191717238T0604VE06000149VE002801618191941265,书不是一棵一棵的,否,否,否,3,否,书不是一颗一颗的,"['shu', 'bu', 'shi', 'yi', 'ke', 'yi', 'ke', 'de']"
VE06000149,本,1618192048330T0605VE06000149VE002801618192210859,书是一列一列的,否,否,否,3,否,书是一面一面的,"['shu', 'shi', 'yi', 'mian', 'yi', 'mian', 'de']"
VE06000149,本,1618192544946T0605VE06000149VE002801618192682257,书是一个长方形的,否,否,否,3,否,书书，书是一个长方形的,"['shu', 'shu', 'shu', 'shi', 'yi', 'ge', 'chang', 'fang', 'xing', 'de']"
VE06000149,本,1618193100995T0604VE06000149VE002801618193335425,纸,否,否,否,5,否,纸,['zhi']
VE06000149,本,1618275960253T0604VE06000149VE002801618276194575,不是一棵一棵,否,否,否,4,否,不是一颗一颗的,"['bu', 'shi', 'yi', 'ke', 'yi', 'ke', 'de']"
VE06000149,本,1618278205081T0605VE06000149VE002801618278352195,书是一本一本的,否,否,否,4,是,书是一本一本的,"['shu', 'shi', 'yi', 'ben', 'yi', 'ben', 'de']"
VE06000149,本,1618278587855T0605VE06000149VE002801618278872958,书也是一棵一棵的,否,否,否,4,否,书也是一颗一颗的,"['shu', 'ye', 'shi', 'yi', 'ke', 'yi', 'ke', 'de']"
VE06000149,本,1618280905927T0604VE06000149VE002801618281123702,一本一本的,否,否,否,4,是,一本一本的,"['yi', 'ben', 'yi', 'ben', 'de']"
VE06000149,本,1618282136024T0604VE06000149VE002801618282358992,/,否,否,否,0,否,嗯,['en']
VE06000149,本,1618295228848T0605VE06000149VE002801618295460543,也是一棵一棵的,否,否,否,4,否,也是一颗一颗的,"['ye', 'shi', 'yi', 'ke', 'yi', 'ke', 'de']"
VE06000149,本,1618295615703T0604VE06000149VE002801618295875283,是一页一页的,否,否,否,5,否,是一页一页的,"['shi', 'yi', 'ye', 'yi', 'ye', 'de']"
VE06000149,本,1618447854715T0605VE06000149VE002801618447993238,本,否,否,否,2,是,拜拜,"['bai', 'bai']"
VE06000149,本,1618448900511T0604VE06000149VE002801618449105024,/,否,否,否,0,否,嗯就外面,"['en', 'jiu', 'wai', 'mian']"
