图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音,标准拼音,讯飞数据,讯飞判定
VE06000140,邮递员、送信,1618451426336T0602VE06000140VE008501618451611680,/,0,0,0,0,0,有一个我们观察的非常的准确，非常好,"['you', 'yi', 'ge', 'wo', 'men', 'guan', 'cha', 'de', 'fei', 'chang', 'de', 'zhun', 'que', 'fei', 'chang', 'hao']","['you-di-yuan', 'song-xin']","{""word"": ""\u6709\u4e00\u4e2a\u6211\u4eec\u89c2\u5bdf\u7684\u975e\u5e38\u7684\u51c6\u786e\uff0c\u975e\u5e38\u597d"", ""pinyin"": ""['you', 'yi', 'ge', 'wo', 'men', 'guan', 'cha', 'de', 'fei', 'chang', 'de', 'zhun', 'que', 'fei', 'chang', 'hao']"", ""nearest"": [""you"", ""yi"", ""ge""], ""minDis"": 1.6666666666666667}",0
VE06000140,邮递员、送信,1618452037246T0601VE06000140VE008501618452161389,他是送信的人,0,0,0,3,1,他是送信的人,"['ta', 'shi', 'song', 'xin', 'de', 'ren']","['you-di-yuan', 'song-xin']","{""word"": ""\u4ed6\u662f\u9001\u4fe1\u7684\u4eba"", ""pinyin"": ""['ta', 'shi', 'song', 'xin', 'de', 'ren']"", ""nearest"": [""song"", ""xin""], ""minDis"": 0.0}",1
VE06000140,邮递员、送信,1618453029145T0602VE06000140VE008501618453215243,他是,0,0,0,3,0,好谢谢,"['hao', 'xie', 'xie']","['you-di-yuan', 'song-xin']","{""word"": ""\u597d\u8c22\u8c22"", ""pinyin"": ""['hao', 'xie', 'xie']"", ""nearest"": [""hao"", ""xie""], ""minDis"": 2.5}",0
VE06000140,邮递员、送信,1618453584002T0602VE06000140VE008501618453803904,他是送信的,0,0,0,3,1,他是授信的,"['ta', 'shi', 'shou', 'xin', 'de']","['you-di-yuan', 'song-xin']","{""word"": ""\u4ed6\u662f\u6388\u4fe1\u7684"", ""pinyin"": ""['ta', 'shi', 'shou', 'xin', 'de']"", ""nearest"": [""shou"", ""xin""], ""minDis"": 1.4}",0
VE06000140,邮递员、送信,1618455059969T0601VE06000140VE008501618455204943,/,0,0,0,0,0,啊你说你的意思,"['a', 'ni', 'shuo', 'ni', 'de', 'yi', 'si']","['you-di-yuan', 'song-xin']","{""word"": ""\u554a\u4f60\u8bf4\u4f60\u7684\u610f\u601d"", ""pinyin"": ""['a', 'ni', 'shuo', 'ni', 'de', 'yi', 'si']"", ""nearest"": [""ni"", ""de"", ""yi""], ""minDis"": 2.4}",0
VE06000141,聊天、谈话、讲话、说话,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']",{},-1
VE06000141,聊天、谈话、讲话、说话,1344T0604VE06000141VE00705,聊天,0,0,0,4,1,聊天,"['liao', 'tian']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u804a\u5929"", ""pinyin"": ""['liao', 'tian']"", ""nearest"": [""liao"", ""tian""], ""minDis"": 0.0}",1
VE06000141,聊天、谈话、讲话、说话,1347T0605VE06000141VE00705,他们在一起的讲话,0,0,0,5,1,他们在一起的讲话,"['ta', 'men', 'zai', 'yi', 'qi', 'de', 'jiang', 'hua']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u4ed6\u4eec\u5728\u4e00\u8d77\u7684\u8bb2\u8bdd"", ""pinyin"": ""['ta', 'men', 'zai', 'yi', 'qi', 'de', 'jiang', 'hua']"", ""nearest"": [""jiang"", ""hua""], ""minDis"": 0.0}",1
VE06000141,聊天、谈话、讲话、说话,1618191717238T0604VE06000141VE007051618191975462,他们在讲话,0,0,0,4,1,他们在讲话,"['ta', 'men', 'zai', 'jiang', 'hua']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u4ed6\u4eec\u5728\u8bb2\u8bdd"", ""pinyin"": ""['ta', 'men', 'zai', 'jiang', 'hua']"", ""nearest"": [""jiang"", ""hua""], ""minDis"": 0.0}",1
VE06000141,聊天、谈话、讲话、说话,1618192048330T0605VE06000141VE007051618192244557,/,0,0,0,0,0,知道,"['zhi', 'dao']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u77e5\u9053"", ""pinyin"": ""['zhi', 'dao']"", ""nearest"": [""zhi"", ""dao""], ""minDis"": 2.9}",0
VE06000141,聊天、谈话、讲话、说话,1618192544946T0605VE06000141VE007051618192717164,/,0,0,0,0,0,嗯,['en'],"['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u55ef"", ""pinyin"": ""['en']""}",-1
VE06000141,聊天、谈话、讲话、说话,1618193100995T0604VE06000141VE007051618193366700,/,0,0,0,0,0,,[''],"['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']",{},-1
VE06000141,聊天、谈话、讲话、说话,1618275960253T0604VE06000141VE007051618276224254,好像是石头剪刀布吧,0,0,0,2,0,还是喜洲嘴的布包,"['huan', 'shi', 'xi', 'zhou', 'zui', 'de', 'bu', 'bao']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u8fd8\u662f\u559c\u6d32\u5634\u7684\u5e03\u5305"", ""pinyin"": ""['huan', 'shi', 'xi', 'zhou', 'zui', 'de', 'bu', 'bao']"", ""nearest"": [""zhou"", ""zui""], ""minDis"": 2.2}",0
VE06000141,聊天、谈话、讲话、说话,1618278205081T0605VE06000141VE007051618278384163,他们俩在讲话,0,0,0,4,1,他们俩在讲话,"['ta', 'men', 'lia', 'zai', 'jiang', 'hua']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u4ed6\u4eec\u4fe9\u5728\u8bb2\u8bdd"", ""pinyin"": ""['ta', 'men', 'lia', 'zai', 'jiang', 'hua']"", ""nearest"": [""jiang"", ""hua""], ""minDis"": 0.0}",1
VE06000141,聊天、谈话、讲话、说话,1618278587855T0605VE06000141VE007051618278907199,他们在玩石头剪刀布,0,0,0,5,0,他们在玩石头剪刀布,"['ta', 'men', 'zai', 'wan', 'shi', 'tou', 'jian', 'dao', 'bu']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u4ed6\u4eec\u5728\u73a9\u77f3\u5934\u526a\u5200\u5e03"", ""pinyin"": ""['ta', 'men', 'zai', 'wan', 'shi', 'tou', 'jian', 'dao', 'bu']"", ""nearest"": [""dao"", ""bu""], ""minDis"": 1.95}",0
VE06000141,聊天、谈话、讲话、说话,1618280905927T0604VE06000141VE007051618281157886,他们在说话吗,0,0,0,3,1,他们的说话吗？,"['ta', 'men', 'de', 'shuo', 'hua', 'ma']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u4ed6\u4eec\u7684\u8bf4\u8bdd\u5417\uff1f"", ""pinyin"": ""['ta', 'men', 'de', 'shuo', 'hua', 'ma']"", ""nearest"": [""shuo"", ""hua""], ""minDis"": 0.0}",1
VE06000141,聊天、谈话、讲话、说话,1618282136024T0604VE06000141VE007051618282388393,聊天,0,0,0,4,1,聊天,"['liao', 'tian']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u804a\u5929"", ""pinyin"": ""['liao', 'tian']"", ""nearest"": [""liao"", ""tian""], ""minDis"": 0.0}",1
VE06000141,聊天、谈话、讲话、说话,1618295228848T0605VE06000141VE007051618295497581,他们在讲话,0,0,0,4,1,他们在讲话,"['ta', 'men', 'zai', 'jiang', 'hua']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u4ed6\u4eec\u5728\u8bb2\u8bdd"", ""pinyin"": ""['ta', 'men', 'zai', 'jiang', 'hua']"", ""nearest"": [""jiang"", ""hua""], ""minDis"": 0.0}",1
VE06000141,聊天、谈话、讲话、说话,1618295615703T0604VE06000141VE007051618295909930,在玩游戏,0,0,0,5,0,在玩游戏,"['zai', 'wan', 'you', 'xi']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u5728\u73a9\u6e38\u620f"", ""pinyin"": ""['zai', 'wan', 'you', 'xi']"", ""nearest"": [""wan"", ""you""], ""minDis"": 2.0}",0
VE06000141,聊天、谈话、讲话、说话,1618447854715T0605VE06000141VE007051618448022131,天,0,0,0,3,0,天,['tian'],"['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u5929"", ""pinyin"": ""['tian']""}",-1
VE06000141,聊天、谈话、讲话、说话,1618448900511T0604VE06000141VE007051618449140236,在聊天,0,0,0,3,1,在聊天,"['zai', 'liao', 'tian']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u5728\u804a\u5929"", ""pinyin"": ""['zai', 'liao', 'tian']"", ""nearest"": [""liao"", ""tian""], ""minDis"": 0.0}",1
VE06000141,聊天、谈话、讲话、说话,1618451774229T0605VE06000141VE007051618451933181,在讲话,0,0,0,3,1,在讲话,"['zai', 'jiang', 'hua']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u5728\u8bb2\u8bdd"", ""pinyin"": ""['zai', 'jiang', 'hua']"", ""nearest"": [""jiang"", ""hua""], ""minDis"": 0.0}",1
VE06000141,聊天、谈话、讲话、说话,1618452740249T0604VE06000141VE007051618452966294,说话,0,0,0,3,1,说话,"['shuo', 'hua']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u8bf4\u8bdd"", ""pinyin"": ""['shuo', 'hua']"", ""nearest"": [""shuo"", ""hua""], ""minDis"": 0.0}",1
VE06000141,聊天、谈话、讲话、说话,1618453308633T0605VE06000141VE007051618453446258,他们在玩儿,0,0,0,3,0,他们在玩,"['ta', 'men', 'zai', 'wan']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u4ed6\u4eec\u5728\u73a9"", ""pinyin"": ""['ta', 'men', 'zai', 'wan']"", ""nearest"": [""ta"", ""men""], ""minDis"": 2.0}",0
VE06000141,聊天、谈话、讲话、说话,1618455677099T0604VE06000141VE007051618455885694,聊天,0,0,0,2,1,聊天,"['liao', 'tian']","['liao-tian', 'tan-hua', 'jiang-hua', 'shuo-hua']","{""word"": ""\u804a\u5929"", ""pinyin"": ""['liao', 'tian']"", ""nearest"": [""liao"", ""tian""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['fu-za', 'nan', 'bu-jian-dan']",{},-1
VE06000142,复杂、难、不简单,1340T0503VE06000142VE00756,很难,0,0,0,3,1,很难,"['hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u5f88\u96be"", ""pinyin"": ""['hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1345T0603VE06000142VE00756,/,0,0,0,0,0,嗯,['en'],"['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u55ef"", ""pinyin"": ""['en']""}",-1
VE06000142,复杂、难、不简单,1346T0502VE06000142VE00756,很难,0,0,0,5,1,很难,"['hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u5f88\u96be"", ""pinyin"": ""['hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1347T0605VE06000142VE00756,这个图案很难,0,0,0,4,1,这个图啊很难,"['zhe', 'ge', 'tu', 'a', 'hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u8fd9\u4e2a\u56fe\u554a\u5f88\u96be"", ""pinyin"": ""['zhe', 'ge', 'tu', 'a', 'hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1349T0603VE06000142VE00756,不简单,0,0,0,4,1,不简单,"['bu', 'jian', 'dan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u4e0d\u7b80\u5355"", ""pinyin"": ""['bu', 'jian', 'dan']"", ""nearest"": [""bu"", ""jian"", ""dan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618188869654T0603VE06000142VE007561618189061128,很难呀,0,0,1,4,1,很难呀,"['hen', 'nan', 'ya']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u5f88\u96be\u5440"", ""pinyin"": ""['hen', 'nan', 'ya']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618192048330T0605VE06000142VE007561618192297782,很难,0,0,0,3,1,什么,"['shen', 'me']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u4ec0\u4e48"", ""pinyin"": ""['shen', 'me']"", ""nearest"": [""shen""], ""minDis"": 3.0}",0
VE06000142,复杂、难、不简单,1618192544946T0605VE06000142VE007561618192769556,/,0,0,0,0,0,,[''],"['fu-za', 'nan', 'bu-jian-dan']",{},-1
VE06000142,复杂、难、不简单,1618194888019T0603VE06000142VE007561618195046838,啊,0,0,0,1,0,,[''],"['fu-za', 'nan', 'bu-jian-dan']",{},-1
VE06000142,复杂、难、不简单,1618195512593T0603VE06000142VE007561618195637100,难,0,0,0,3,1,,[''],"['fu-za', 'nan', 'bu-jian-dan']",{},-1
VE06000142,复杂、难、不简单,1618278205081T0605VE06000142VE007561618278435258,不简单,0,0,0,4,1,不简单,"['bu', 'jian', 'dan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u4e0d\u7b80\u5355"", ""pinyin"": ""['bu', 'jian', 'dan']"", ""nearest"": [""bu"", ""jian"", ""dan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618278587855T0605VE06000142VE007561618278964476,那个图案很难,0,0,0,4,1,那个图案很难,"['na', 'ge', 'tu', 'an', 'hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u90a3\u4e2a\u56fe\u6848\u5f88\u96be"", ""pinyin"": ""['na', 'ge', 'tu', 'an', 'hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618280487348T0603VE06000142VE007561618280676055,很难,0,0,0,3,1,很难,"['hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u5f88\u96be"", ""pinyin"": ""['hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618281729843T0603VE06000142VE007561618281892331,很难,0,0,0,4,1,很难,"['hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u5f88\u96be"", ""pinyin"": ""['hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618283377735T0503VE06000142VE007561618283698197,这个很难,0,1,0,4,1,这个很难,"['zhe', 'ge', 'hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u8fd9\u4e2a\u5f88\u96be"", ""pinyin"": ""['zhe', 'ge', 'hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618294378869T0502VE06000142VE007561618294632171,难,0,0,0,2,1,男,['nan'],"['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u7537"", ""pinyin"": ""['nan']""}",-1
VE06000142,复杂、难、不简单,1618295228848T0605VE06000142VE007561618295565135,很难,0,0,0,4,1,很难,"['hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u5f88\u96be"", ""pinyin"": ""['hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618297471484T0502VE06000142VE007561618297758000,难,0,0,0,3,1,男,['nan'],"['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u7537"", ""pinyin"": ""['nan']""}",-1
VE06000142,复杂、难、不简单,1618298310027T0503VE06000142VE007561618298552577,难,0,0,0,3,1,啊,['a'],"['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u554a"", ""pinyin"": ""['a']""}",-1
VE06000142,复杂、难、不简单,1618447854715T0605VE06000142VE007561618448069834,难,0,0,0,2,1,很难,"['hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u5f88\u96be"", ""pinyin"": ""['hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618449325726T0603VE06000142VE007561618449484395,很难,0,1,0,3,1,再来一遍很难,"['zai', 'lai', 'yi', 'bian', 'hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u518d\u6765\u4e00\u904d\u5f88\u96be"", ""pinyin"": ""['zai', 'lai', 'yi', 'bian', 'hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618450419482T0502VE06000142VE007561618450668446,那个图案很难的,0,0,0,3,1,那个图案很难的,"['na', 'ge', 'tu', 'an', 'hen', 'nan', 'de']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u90a3\u4e2a\u56fe\u6848\u5f88\u96be\u7684"", ""pinyin"": ""['na', 'ge', 'tu', 'an', 'hen', 'nan', 'de']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618450727708T0503VE06000142VE007561618450972515,难,0,0,0,2,1,嗯,['en'],"['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u55ef"", ""pinyin"": ""['en']""}",-1
VE06000142,复杂、难、不简单,1618451774229T0605VE06000142VE007561618451981287,很难,0,0,0,3,1,很难,"['hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u5f88\u96be"", ""pinyin"": ""['hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618452409584T0603VE06000142VE007561618452576649,很难,0,0,0,2,1,最后再转换很难,"['zui', 'hou', 'zai', 'zhuan', 'huan', 'hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u6700\u540e\u518d\u8f6c\u6362\u5f88\u96be"", ""pinyin"": ""['zui', 'hou', 'zai', 'zhuan', 'huan', 'hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618453308633T0605VE06000142VE007561618453504909,很复杂很难,0,0,0,4,1,很复杂很难,"['hen', 'fu', 'za', 'hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u5f88\u590d\u6742\u5f88\u96be"", ""pinyin"": ""['hen', 'fu', 'za', 'hen', 'nan']"", ""nearest"": [""fu"", ""za""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618454164862T0503VE06000142VE007561618454399791,很难,0,0,0,4,1,很难,"['hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u5f88\u96be"", ""pinyin"": ""['hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000142,复杂、难、不简单,1618454746850T0603VE06000142VE007561618454903205,这个图很简单另外一个图很难,0,0,0,5,1,这个图很简单，另外一个图很难,"['zhe', 'ge', 'tu', 'hen', 'jian', 'dan', 'ling', 'wai', 'yi', 'ge', 'tu', 'hen', 'nan']","['fu-za', 'nan', 'bu-jian-dan']","{""word"": ""\u8fd9\u4e2a\u56fe\u5f88\u7b80\u5355\uff0c\u53e6\u5916\u4e00\u4e2a\u56fe\u5f88\u96be"", ""pinyin"": ""['zhe', 'ge', 'tu', 'hen', 'jian', 'dan', 'ling', 'wai', 'yi', 'ge', 'tu', 'hen', 'nan']"", ""nearest"": [""nan""], ""minDis"": 0.0}",1
VE06000143,铁锹、铲子,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['tie-qiao', 'chan-zi']",{},-1
VE06000143,铁锹、铲子,1342T0601VE06000143VE01075,铲子,0,0,0,3,1,铲子,"['chan', 'zi']","['tie-qiao', 'chan-zi']","{""word"": ""\u94f2\u5b50"", ""pinyin"": ""['chan', 'zi']"", ""nearest"": [""chan"", ""zi""], ""minDis"": 0.0}",1
VE06000143,铁锹、铲子,1348T0601VE06000143VE01075,这是铲子,0,0,0,4,1,这是惨死,"['zhe', 'shi', 'can', 'si']","['tie-qiao', 'chan-zi']","{""word"": ""\u8fd9\u662f\u60e8\u6b7b"", ""pinyin"": ""['zhe', 'shi', 'can', 'si']"", ""nearest"": [""can"", ""si""], ""minDis"": 0.65}",0
VE06000143,铁锹、铲子,1618190311406T0601VE06000143VE010751618190640295,铲子,0,0,0,4,1,铲子,"['chan', 'zi']","['tie-qiao', 'chan-zi']","{""word"": ""\u94f2\u5b50"", ""pinyin"": ""['chan', 'zi']"", ""nearest"": [""chan"", ""zi""], ""minDis"": 0.0}",1
VE06000143,铁锹、铲子,1618194328063T0601VE06000143VE010751618194506282,/,an3zi,0,0,2,1,案子,"['an', 'zi']","['tie-qiao', 'chan-zi']","{""word"": ""\u6848\u5b50"", ""pinyin"": ""['an', 'zi']"", ""nearest"": [""an"", ""zi""], ""minDis"": 1.0}",0
VE06000143,铁锹、铲子,1618276501878T0601VE06000143VE010751618276772456,铲子,0,0,0,5,1,铲子,"['chan', 'zi']","['tie-qiao', 'chan-zi']","{""word"": ""\u94f2\u5b50"", ""pinyin"": ""['chan', 'zi']"", ""nearest"": [""chan"", ""zi""], ""minDis"": 0.0}",1
VE06000143,铁锹、铲子,1618279332680T0601VE06000143VE010751618279544821,铲子,0,0,0,3,1,铲子,"['chan', 'zi']","['tie-qiao', 'chan-zi']","{""word"": ""\u94f2\u5b50"", ""pinyin"": ""['chan', 'zi']"", ""nearest"": [""chan"", ""zi""], ""minDis"": 0.0}",1
VE06000143,铁锹、铲子,1618449720214T0601VE06000143VE010751618449919548,这是铲子,0,0,0,3,1,这是铲子,"['zhe', 'shi', 'chan', 'zi']","['tie-qiao', 'chan-zi']","{""word"": ""\u8fd9\u662f\u94f2\u5b50"", ""pinyin"": ""['zhe', 'shi', 'chan', 'zi']"", ""nearest"": [""chan"", ""zi""], ""minDis"": 0.0}",1
VE06000143,铁锹、铲子,1618452037246T0601VE06000143VE010751618452197311,/,0,0,0,0,0,这是多少？,"['zhe', 'shi', 'duo', 'shao']","['tie-qiao', 'chan-zi']","{""word"": ""\u8fd9\u662f\u591a\u5c11\uff1f"", ""pinyin"": ""['zhe', 'shi', 'duo', 'shao']"", ""nearest"": [""zhe"", ""shi""], ""minDis"": 2.2}",0
