图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音,标准拼音,讯飞数据,讯飞判定
VE05000100,输,1618451101330T0501VE05000100VE012771618451234337,赢勒,,,,3,0,嗯回答非常好，有多少时间,"['en', 'hui', 'da', 'fei', 'chang', 'hao', 'you', 'duo', 'shao', 'shi', 'jian']",['shu'],"{""word"": ""\u55ef\u56de\u7b54\u975e\u5e38\u597d\uff0c\u6709\u591a\u5c11\u65f6\u95f4"", ""pinyin"": ""['en', 'hui', 'da', 'fei', 'chang', 'hao', 'you', 'duo', 'shao', 'shi', 'jian']"", ""nearest"": [""shi""], ""minDis"": 1.2}",0
VE05000100,输,1618454475187T0501VE05000100VE012771618454607973,输啦,,,,5,1,吃了,"['chi', 'le']",['shu'],"{""word"": ""\u5403\u4e86"", ""pinyin"": ""['chi', 'le']"", ""nearest"": [""chi""], ""minDis"": 2.0}",0
VE05000101,麻雀、鸟,------------------------------------------------,,--------,--------------,------------,------------,----------,---------------------,,"['ma-que', 'niao']",{},-1
VE05000101,麻雀、鸟,1342T0601VE05000101VE00595,扭,,,1,2,0,也有,"['ye', 'you']","['ma-que', 'niao']","{""word"": ""\u4e5f\u6709"", ""pinyin"": ""['ye', 'you']"", ""nearest"": [""ye"", ""you""], ""minDis"": 2.6}",0
VE05000101,麻雀、鸟,1348T0601VE05000101VE00595,小鸟,,,1,5,1,小鸟,"['xiao', 'niao']","['ma-que', 'niao']","{""word"": ""\u5c0f\u9e1f"", ""pinyin"": ""['xiao', 'niao']"", ""nearest"": [""niao""], ""minDis"": 0.0}",1
VE05000101,麻雀、鸟,1618190311406T0601VE05000101VE005951618190717291,/,,,,0,0,,[''],"['ma-que', 'niao']",{},-1
VE05000101,麻雀、鸟,1618194328063T0601VE05000101VE005951618194560086,yao,1,,1,2,0,然后,"['ran', 'hou']","['ma-que', 'niao']","{""word"": ""\u7136\u540e"", ""pinyin"": ""['ran', 'hou']"", ""nearest"": [""ran"", ""hou""], ""minDis"": 2.5}",0
VE05000101,麻雀、鸟,1618275375251T0505VE05000101VE005951618275609161,雀,,,,5,1,却,['que'],"['ma-que', 'niao']","{""word"": ""\u5374"", ""pinyin"": ""['que']""}",-1
VE05000101,麻雀、鸟,1618276501878T0601VE05000101VE005951618276895362,麻雀,,,1,5,1,麻雀,"['ma', 'que']","['ma-que', 'niao']","{""word"": ""\u9ebb\u96c0"", ""pinyin"": ""['ma', 'que']"", ""nearest"": [""ma"", ""que""], ""minDis"": 0.0}",1
VE05000101,麻雀、鸟,1618276804004T0404VE05000101VE005951618277093558,袄,,,,0,,好,['hao'],"['ma-que', 'niao']","{""word"": ""\u597d"", ""pinyin"": ""['hao']""}",-1
VE05000101,麻雀、鸟,1618279332680T0601VE05000101VE005951618279611479,小鸟,,,1,5,1,小鸟,"['xiao', 'niao']","['ma-que', 'niao']","{""word"": ""\u5c0f\u9e1f"", ""pinyin"": ""['xiao', 'niao']"", ""nearest"": [""niao""], ""minDis"": 0.0}",1
VE05000101,麻雀、鸟,1618285767289T0404VE05000101VE005951618286022570,鸟,,,,5,1,有,['you'],"['ma-que', 'niao']","{""word"": ""\u6709"", ""pinyin"": ""['you']""}",-1
VE05000101,麻雀、鸟,1618295835309T0404VE05000101VE005951618296075556,/,,,1,0,0,嗯,['en'],"['ma-que', 'niao']","{""word"": ""\u55ef"", ""pinyin"": ""['en']""}",-1
VE05000101,麻雀、鸟,1618296468087T0505VE05000101VE005951618296755613,芝士小鸟,,,1,3,1,只是小鸟,"['zhi', 'shi', 'xiao', 'niao']","['ma-que', 'niao']","{""word"": ""\u53ea\u662f\u5c0f\u9e1f"", ""pinyin"": ""['zhi', 'shi', 'xiao', 'niao']"", ""nearest"": [""niao""], ""minDis"": 0.0}",1
VE05000101,麻雀、鸟,1618449720214T0601VE05000101VE005951618450006222,这个是鸟,,,,5,1,这个是鸟,"['zhe', 'ge', 'shi', 'niao']","['ma-que', 'niao']","{""word"": ""\u8fd9\u4e2a\u662f\u9e1f"", ""pinyin"": ""['zhe', 'ge', 'shi', 'niao']"", ""nearest"": [""niao""], ""minDis"": 0.0}",1
VE05000101,麻雀、鸟,1618452037246T0601VE05000101VE005951618452270978,这是山犬,,,,2,0,这个是山区,"['zhe', 'ge', 'shi', 'shan', 'qu']","['ma-que', 'niao']","{""word"": ""\u8fd9\u4e2a\u662f\u5c71\u533a"", ""pinyin"": ""['zhe', 'ge', 'shi', 'shan', 'qu']"", ""nearest"": [""shan"", ""qu""], ""minDis"": 2.0}",0
VE05000101,麻雀、鸟,1618453886603T0505VE05000101VE005951618454112615,这是小鸟,,,1,4,1,这是小鸟,"['zhe', 'shi', 'xiao', 'niao']","['ma-que', 'niao']","{""word"": ""\u8fd9\u662f\u5c0f\u9e1f"", ""pinyin"": ""['zhe', 'shi', 'xiao', 'niao']"", ""nearest"": [""niao""], ""minDis"": 0.0}",1
VE05000101,麻雀、鸟,1618455059969T0601VE05000101VE005951618455304134,一个鸟,,,1,5,1,一个鸟,"['yi', 'ge', 'niao']","['ma-que', 'niao']","{""word"": ""\u4e00\u4e2a\u9e1f"", ""pinyin"": ""['yi', 'ge', 'niao']"", ""nearest"": [""niao""], ""minDis"": 0.0}",1
VE05000101,麻雀、鸟,1618468821499T0404VE05000101VE005951618469093489,/,,,,0,0,,[''],"['ma-que', 'niao']",{},-1
VE05000101,麻雀、鸟,1618469889703T0404VE05000101VE005951618470125529,嗯燕子,,,1,5,0,嗯燕子,"['en', 'yan', 'zi']","['ma-que', 'niao']","{""word"": ""\u55ef\u71d5\u5b50"", ""pinyin"": ""['en', 'yan', 'zi']"", ""nearest"": [""yan"", ""zi""], ""minDis"": 2.5}",0
VE05000102,铁路、轨道、铁轨,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['tie-lu', 'gui-dao', 'tie-gui']",{},-1
VE05000102,铁路、轨道、铁轨,1341T0602VE05000102VE00658,火车的马路,,,1,4,0,我车的满意,"['wo', 'che', 'de', 'man', 'yi']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u6211\u8f66\u7684\u6ee1\u610f"", ""pinyin"": ""['wo', 'che', 'de', 'man', 'yi']"", ""nearest"": [""de"", ""man""], ""minDis"": 2.45}",0
VE05000102,铁路、轨道、铁轨,1343T0501VE05000102VE00658,轨道,,,1,5,1,轨道,"['gui', 'dao']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u8f68\u9053"", ""pinyin"": ""['gui', 'dao']"", ""nearest"": [""gui"", ""dao""], ""minDis"": 0.0}",1
VE05000102,铁路、轨道、铁轨,1347T0605VE05000102VE00658,这是嗯轨道,,,1,5,1,这是你轨道,"['zhe', 'shi', 'ni', 'gui', 'dao']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u8fd9\u662f\u4f60\u8f68\u9053"", ""pinyin"": ""['zhe', 'shi', 'ni', 'gui', 'dao']"", ""nearest"": [""gui"", ""dao""], ""minDis"": 0.0}",1
VE05000102,铁路、轨道、铁轨,1618189717760T0602VE05000102VE006581618189887857,火册套,,,1,2,0,,[''],"['tie-lu', 'gui-dao', 'tie-gui']",{},-1
VE05000102,铁路、轨道、铁轨,1618192048330T0605VE05000102VE006581618192206006,就轨道,,,1,3,1,这个轨道,"['zhe', 'ge', 'gui', 'dao']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u8fd9\u4e2a\u8f68\u9053"", ""pinyin"": ""['zhe', 'ge', 'gui', 'dao']"", ""nearest"": [""gui"", ""dao""], ""minDis"": 0.0}",1
VE05000102,铁路、轨道、铁轨,1618192544946T0605VE05000102VE006581618192678487,zande,1,,1,2,0,真的,"['zhen', 'de']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u771f\u7684"", ""pinyin"": ""['zhen', 'de']"", ""nearest"": [""zhen"", ""de""], ""minDis"": 3.0}",0
VE05000102,铁路、轨道、铁轨,1618193735771T0602VE05000102VE006581618193876358,火车的轨道,,,1,5,1,火车的轨道,"['huo', 'che', 'de', 'gui', 'dao']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u706b\u8f66\u7684\u8f68\u9053"", ""pinyin"": ""['huo', 'che', 'de', 'gui', 'dao']"", ""nearest"": [""gui"", ""dao""], ""minDis"": 0.0}",1
VE05000102,铁路、轨道、铁轨,1618196018573T0602VE05000102VE006581618196216233,轨道,,,,5,1,轨道,"['gui', 'dao']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u8f68\u9053"", ""pinyin"": ""['gui', 'dao']"", ""nearest"": [""gui"", ""dao""], ""minDis"": 0.0}",1
VE05000102,铁路、轨道、铁轨,1618277350113T0501VE05000102VE006581618277569570,这是铁轨,,,,5,1,就是铁轨,"['jiu', 'shi', 'tie', 'gui']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u5c31\u662f\u94c1\u8f68"", ""pinyin"": ""['jiu', 'shi', 'tie', 'gui']"", ""nearest"": [""tie"", ""gui""], ""minDis"": 0.0}",1
VE05000102,铁路、轨道、铁轨,1618278205081T0605VE05000102VE006581618278346817,火车的，火车开的路,,,,5,0,火车的火车开的路,"['huo', 'che', 'de', 'huo', 'che', 'kai', 'de', 'lu']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u706b\u8f66\u7684\u706b\u8f66\u5f00\u7684\u8def"", ""pinyin"": ""['huo', 'che', 'de', 'huo', 'che', 'kai', 'de', 'lu']"", ""nearest"": [""de"", ""lu""], ""minDis"": 0.95}",0
VE05000102,铁路、轨道、铁轨,1618278587855T0605VE05000102VE006581618278867264,火车的路,,,,5,0,火车的路,"['huo', 'che', 'de', 'lu']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u706b\u8f66\u7684\u8def"", ""pinyin"": ""['huo', 'che', 'de', 'lu']"", ""nearest"": [""de"", ""lu""], ""minDis"": 0.95}",0
VE05000102,铁路、轨道、铁轨,1618279667480T0602VE05000102VE006581618279843854,额，火车道,,,,3,0,嗯我收到了,"['en', 'wo', 'shou', 'dao', 'le']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u55ef\u6211\u6536\u5230\u4e86"", ""pinyin"": ""['en', 'wo', 'shou', 'dao', 'le']"", ""nearest"": [""shou"", ""dao""], ""minDis"": 2.0}",0
VE05000102,铁路、轨道、铁轨,1618282675120T0602VE05000102VE006581618282831008,/,,,,0,0,,[''],"['tie-lu', 'gui-dao', 'tie-gui']",{},-1
VE05000102,铁路、轨道、铁轨,1618295228848T0605VE05000102VE006581618295455500,火车,,,,5,0,火车,"['huo', 'che']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u706b\u8f66"", ""pinyin"": ""['huo', 'che']"", ""nearest"": [""huo"", ""che""], ""minDis"": 3.0}",0
VE05000102,铁路、轨道、铁轨,1618298013833T0501VE05000102VE006581618298214901,是铁轨,,,,5,1,是铁轨,"['shi', 'tie', 'gui']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u662f\u94c1\u8f68"", ""pinyin"": ""['shi', 'tie', 'gui']"", ""nearest"": [""tie"", ""gui""], ""minDis"": 0.0}",1
VE05000102,铁路、轨道、铁轨,1618447854715T0605VE05000102VE006581618447989895,ao,1,,,2,0,那,['na'],"['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u90a3"", ""pinyin"": ""['na']""}",-1
VE05000102,铁路、轨道、铁轨,1618451101330T0501VE05000102VE006581618451283700,a是轨道,1,,,4,1,但是轨道,"['dan', 'shi', 'gui', 'dao']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u4f46\u662f\u8f68\u9053"", ""pinyin"": ""['dan', 'shi', 'gui', 'dao']"", ""nearest"": [""gui"", ""dao""], ""minDis"": 0.0}",1
VE05000102,铁路、轨道、铁轨,1618451426336T0602VE05000102VE006581618451567275,woduizewozeduidao,1,,,2,1,我对着我自己的嘴巴,"['wo', 'dui', 'zhao', 'wo', 'zi', 'ji', 'de', 'zui', 'ba']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u6211\u5bf9\u7740\u6211\u81ea\u5df1\u7684\u5634\u5df4"", ""pinyin"": ""['wo', 'dui', 'zhao', 'wo', 'zi', 'ji', 'de', 'zui', 'ba']"", ""nearest"": [""de"", ""zui""], ""minDis"": 1.45}",0
VE05000102,铁路、轨道、铁轨,1618451774229T0605VE05000102VE006581618451895357,ao,1,,,2,0,,[''],"['tie-lu', 'gui-dao', 'tie-gui']",{},-1
VE05000102,铁路、轨道、铁轨,1618453029145T0602VE05000102VE006581618453170662,道,,,,4,0,到,['dao'],"['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u5230"", ""pinyin"": ""['dao']""}",-1
VE05000102,铁路、轨道、铁轨,1618453308633T0605VE05000102VE006581618453407711,铁轨,,,,5,1,铁轨,"['tie', 'gui']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u94c1\u8f68"", ""pinyin"": ""['tie', 'gui']"", ""nearest"": [""tie"", ""gui""], ""minDis"": 0.0}",1
VE05000102,铁路、轨道、铁轨,1618453584002T0602VE05000102VE006581618453756554,这是铁轨,,,,5,1,这是铁轨,"['zhe', 'shi', 'tie', 'gui']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u8fd9\u662f\u94c1\u8f68"", ""pinyin"": ""['zhe', 'shi', 'tie', 'gui']"", ""nearest"": [""tie"", ""gui""], ""minDis"": 0.0}",1
VE05000102,铁路、轨道、铁轨,1618454475187T0501VE05000102VE006581618454652459,/,,,,0,0,那么一两个,"['na', 'me', 'yi', 'liang', 'ge']","['tie-lu', 'gui-dao', 'tie-gui']","{""word"": ""\u90a3\u4e48\u4e00\u4e24\u4e2a"", ""pinyin"": ""['na', 'me', 'yi', 'liang', 'ge']"", ""nearest"": [""me"", ""yi""], ""minDis"": 2.0}",0
VE05000103,挖、铲,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['wa', 'chan']",{},-1
VE05000103,挖、铲,1341T0602VE05000103VE00196,他们在挖土,,,,5,1,他在挖土,"['ta', 'zai', 'wa', 'tu']","['wa', 'chan']","{""word"": ""\u4ed6\u5728\u6316\u571f"", ""pinyin"": ""['ta', 'zai', 'wa', 'tu']"", ""nearest"": [""wa""], ""minDis"": 0.0}",1
VE05000103,挖、铲,1343T0501VE05000103VE00196,挖土,,,,5,1,挖土,"['wa', 'tu']","['wa', 'chan']","{""word"": ""\u6316\u571f"", ""pinyin"": ""['wa', 'tu']"", ""nearest"": [""wa""], ""minDis"": 0.0}",1
VE05000103,挖、铲,1347T0605VE05000103VE00196,他在挖土,,,,5,1,他在挖土,"['ta', 'zai', 'wa', 'tu']","['wa', 'chan']","{""word"": ""\u4ed6\u5728\u6316\u571f"", ""pinyin"": ""['ta', 'zai', 'wa', 'tu']"", ""nearest"": [""wa""], ""minDis"": 0.0}",1
VE05000103,挖、铲,1618189717760T0602VE05000103VE001961618189876483,挖土,,,,5,1,,[''],"['wa', 'chan']",{},-1
VE05000103,挖、铲,1618192048330T0605VE05000103VE001961618192195174,挖土,,,,5,1,挖土,"['wa', 'tu']","['wa', 'chan']","{""word"": ""\u6316\u571f"", ""pinyin"": ""['wa', 'tu']"", ""nearest"": [""wa""], ""minDis"": 0.0}",1
VE05000103,挖、铲,1618192544946T0605VE05000103VE001961618192665142,他daidaidaidongzongzi,1,,,3,0,他的他的动作,"['ta', 'de', 'ta', 'de', 'dong', 'zuo']","['wa', 'chan']","{""word"": ""\u4ed6\u7684\u4ed6\u7684\u52a8\u4f5c"", ""pinyin"": ""['ta', 'de', 'ta', 'de', 'dong', 'zuo']"", ""nearest"": [""ta""], ""minDis"": 1.0}",0
VE05000103,挖、铲,1618193735771T0602VE05000103VE001961618193867581,挖土,,,,5,1,挖土,"['wa', 'tu']","['wa', 'chan']","{""word"": ""\u6316\u571f"", ""pinyin"": ""['wa', 'tu']"", ""nearest"": [""wa""], ""minDis"": 0.0}",1
VE05000103,挖、铲,1618196018573T0602VE05000103VE001961618196205631,嗯挖土,,,,5,1,嗯挖土,"['en', 'wa', 'tu']","['wa', 'chan']","{""word"": ""\u55ef\u6316\u571f"", ""pinyin"": ""['en', 'wa', 'tu']"", ""nearest"": [""wa""], ""minDis"": 0.0}",1
VE05000103,挖、铲,1618277350113T0501VE05000103VE001961618277555422,他在挖土,,,,5,1,它是在？,"['ta', 'shi', 'zai']","['wa', 'chan']","{""word"": ""\u5b83\u662f\u5728\uff1f"", ""pinyin"": ""['ta', 'shi', 'zai']"", ""nearest"": [""ta""], ""minDis"": 1.0}",0
VE05000103,挖、铲,1618278205081T0605VE05000103VE001961618278335729,他在种树,,,,5,0,他在种树,"['ta', 'zai', 'zhong', 'shu']","['wa', 'chan']","{""word"": ""\u4ed6\u5728\u79cd\u6811"", ""pinyin"": ""['ta', 'zai', 'zhong', 'shu']"", ""nearest"": [""ta""], ""minDis"": 1.0}",0
VE05000103,挖、铲,1618278587855T0605VE05000103VE001961618278839989,哦在搞核桃,,,,5,0,再搞核桃,"['zai', 'gao', 'he', 'tao']","['wa', 'chan']","{""word"": ""\u518d\u641e\u6838\u6843"", ""pinyin"": ""['zai', 'gao', 'he', 'tao']"", ""nearest"": [""zai""], ""minDis"": 2.0}",0
VE05000103,挖、铲,1618279667480T0602VE05000103VE001961618279832698,挖土,,,,5,1,挖土啊,"['wa', 'tu', 'a']","['wa', 'chan']","{""word"": ""\u6316\u571f\u554a"", ""pinyin"": ""['wa', 'tu', 'a']"", ""nearest"": [""wa""], ""minDis"": 0.0}",1
VE05000103,挖、铲,1618282675120T0602VE05000103VE001961618282822680,他在铲土,,,,5,1,那在铲土,"['na', 'zai', 'chan', 'tu']","['wa', 'chan']","{""word"": ""\u90a3\u5728\u94f2\u571f"", ""pinyin"": ""['na', 'zai', 'chan', 'tu']"", ""nearest"": [""chan""], ""minDis"": 0.0}",1
VE05000103,挖、铲,1618295228848T0605VE05000103VE001961618295440029,/,,,1,0,0,,[''],"['wa', 'chan']",{},-1
VE05000103,挖、铲,1618298013833T0501VE05000103VE001961618298201663,izuoweigewaxiao,1,,,2,0,这一个瓜,"['zhe', 'yi', 'ge', 'gua']","['wa', 'chan']","{""word"": ""\u8fd9\u4e00\u4e2a\u74dc"", ""pinyin"": ""['zhe', 'yi', 'ge', 'gua']"", ""nearest"": [""gua""], ""minDis"": 1.8}",0
VE05000103,挖、铲,1618447854715T0605VE05000103VE001961618447981614,土,,,,5,0,土,['tu'],"['wa', 'chan']","{""word"": ""\u571f"", ""pinyin"": ""['tu']"", ""nearest"": [""tu""], ""minDis"": 2.2}",0
VE05000103,挖、铲,1618451101330T0501VE05000103VE001961618451274252,挖土,,,,5,1,挖土,"['wa', 'tu']","['wa', 'chan']","{""word"": ""\u6316\u571f"", ""pinyin"": ""['wa', 'tu']"", ""nearest"": [""wa""], ""minDis"": 0.0}",1
VE05000103,挖、铲,1618451426336T0602VE05000103VE001961618451555237,他在拉祖,,,,2,1,,[''],"['wa', 'chan']",{},-1
VE05000103,挖、铲,1618451774229T0605VE05000103VE001961618451887915,挖土,,,,4,1,巴图,"['ba', 'tu']","['wa', 'chan']","{""word"": ""\u5df4\u56fe"", ""pinyin"": ""['ba', 'tu']"", ""nearest"": [""ba""], ""minDis"": 1.0}",0
