图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音
VE03000014,叶子、树叶,1618298551354T0301VE03000014VE001131618298721863,叶子,否,否,否,5,是,叶子,"['ye', 'zi']"
VE03000014,叶子、树叶,1618299576070T0302VE03000014VE001131618299799060,叶子,否,否,否,5,是,叶子,"['ye', 'zi']"
VE03000014,叶子、树叶,1618448339008T0301VE03000014VE001131618448693262,/,否,否,否,0,否,,['']
VE03000014,叶子、树叶,1618458459974T0302VE03000014VE001131618458850506,/,否,否,否,0,否,,['']
VE03000015,袋鼠,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000015,袋鼠,1618276120033T0402VE03000015VE005261618276381437,袋鼠,否,否,否,5,是,袋鼠,"['dai', 'shu']"
VE03000015,袋鼠,1618276804004T0404VE03000015VE005261618276985873,/,否,否,是,0,否,,['']
VE03000015,袋鼠,1618279183526T0402VE03000015VE005261618279369751,这是袋鼠,否,否,否,5,是,这是袋鼠,"['zhe', 'shi', 'dai', 'shu']"
VE03000015,袋鼠,1618285767289T0404VE03000015VE005261618285936536,鼠,否,否,否,2,否,出,['chu']
VE03000015,袋鼠,1618295835309T0404VE03000015VE005261618295985112,楷鼠,否,否,是,2,否,,['']
VE03000015,袋鼠,1618297906963T0402VE03000015VE005261618298119274,袋鼠,否,否,否,5,是,但是我,"['dan', 'shi', 'wo']"
VE03000015,袋鼠,1618298551354T0301VE03000015VE005261618298744734,这什么,否,否,是,4,否,这什么啊,"['zhe', 'shen', 'me', 'a']"
VE03000015,袋鼠,1618299730739T0402VE03000015VE005261618299976797,/,否,否,是,0,否,嗯,['en']
VE03000015,袋鼠,1618448339008T0301VE03000015VE005261618448764571,/,否,否,否,0,否,,['']
VE03000015,袋鼠,1618450690039T0402VE03000015VE005261618450821542,/,否,否,否,0,否,,['']
VE03000015,袋鼠,1618468821499T0404VE03000015VE005261618468994408,/,否,否,否,0,否,,['']
VE03000015,袋鼠,1618468822007T0402VE03000015VE005261618468949202,小袋鼠,否,否,是,4,是,跳大腿,"['tiao', 'da', 'tui']"
VE03000015,袋鼠,1618469889703T0404VE03000015VE005261618470011530,jiesi,是,否,是,1,否,,['']
VE03000015,袋鼠,1618470554451T0402VE03000015VE005261618470683530,嗯袋鼠,否,否,是,5,是,嗯袋鼠,"['en', 'dai', 'shu']"
VE03000015,袋鼠,1618471019753T0402VE03000015VE005261618471207595,袋鼠,否,否,是,5,是,袋鼠,"['dai', 'shu']"
VE03000016,理发师,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000016,理发师,1618273360877T0303VE03000016VE000941618273626992,/,否,否,是,0,否,嗯,['en']
VE03000016,理发师,1618278457024T0305VE03000016VE000941618278784732,他去理发店,否,否,是,3,是,在这里发电,"['zai', 'zhe', 'li', 'fa', 'dian']"
VE03000016,理发师,1618453654364T0303VE03000016VE000941618453812093,/,否,否,否,0,否,,['']
VE03000016,理发师,1618470179737T0303VE03000016VE000941618470280961,/,否,否,是,0,否,谁知,"['shui', 'zhi']"
VE03000017,道路、公路、马路,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000017,道路、公路、马路,1618273360877T0303VE03000017VE008641618273684756,dema,是,否,否,1,否,嗯懂吗？,"['en', 'dong', 'ma']"
VE03000017,道路、公路、马路,1618297232021T0304VE03000017VE008641618297440515,这是路,否,否,是,5,是,,['']
VE03000017,道路、公路、马路,1618298551354T0301VE03000017VE008641618298777437,嗯树林,否,否,是,5,否,嗯树林,"['en', 'shu', 'lin']"
VE03000017,道路、公路、马路,1618448339008T0301VE03000017VE008641618448811350,/,否,否,否,0,否,,['']
VE03000017,道路、公路、马路,1618453654364T0303VE03000017VE008641618453849989,/,否,否,否,0,否,,['']
VE03000017,道路、公路、马路,1618468091613T0304VE03000017VE008641618468281182,/,否,否,否,0,否,,['']
VE03000017,道路、公路、马路,1618470179737T0303VE03000017VE008641618470318821,树,否,否,是,5,否,,['']
VE03000018,蹦床,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000018,蹦床,1618278457024T0305VE03000018VE006141618278711946,床床单,否,否,是,3,否,冯冯丹,"['feng', 'feng', 'dan']"
VE03000018,蹦床,1618297232021T0304VE03000018VE006141618297498206,deqiaole,是,否,是,1,否,,['']
VE03000018,蹦床,1618468091613T0304VE03000018VE006141618468350369,/,否,否,否,0,否,,['']
VE03000019,自行车、单车,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000019,自行车、单车,1618297906963T0402VE03000019VE007591618298209243,/,否,否,否,0,否,,['']
VE03000019,自行车、单车,1618298551354T0301VE03000019VE007591618298838544,一窍即行车,否,否,是,2,是,球一球地行车,"['qiu', 'yi', 'qiu', 'di', 'xing', 'che']"
VE03000019,自行车、单车,1618299730739T0402VE03000019VE007591618300070691,/,否,否,是,0,否,,['']
VE03000019,自行车、单车,1618448339008T0301VE03000019VE007591618448890837,/,否,否,否,0,否,,['']
VE03000019,自行车、单车,1618450690039T0402VE03000019VE007591618450909029,/,否,否,否,0,否,,['']
VE03000019,自行车、单车,1618468822007T0402VE03000019VE007591618469043264,行车,否,否,是,4,否,停车,"['ting', 'che']"
VE03000019,自行车、单车,1618470554451T0402VE03000019VE007591618470793160,自行车,否,否,是,5,是,进行车,"['jin', 'xing', 'che']"
VE03000019,自行车、单车,1618471019753T0402VE03000019VE007591618471425416,自私车,否,否,是,3,是,这次，车,"['zhe', 'ci', 'che']"
VE03000020,跳舞,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000020,跳舞,1618273360877T0303VE03000020VE012861618273632458,/,否,否,是,0,否,嗯,['en']
VE03000020,跳舞,1618278457024T0305VE03000020VE012861618278792901,/,否,否,是,0,否,嗯,['en']
VE03000020,跳舞,1618453654364T0303VE03000020VE012861618453818799,/,否,否,否,0,否,,['']
VE03000020,跳舞,1618470179737T0303VE03000020VE012861618470288153,跳舞,否,否,否,5,是,跳舞,"['tiao', 'wu']"
VE03000021,北极熊,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000021,北极熊,1618273360877T0303VE03000021VE005441618273690493,不知道,否,否,是,4,否,不知道,"['bu', 'zhi', 'dao']"
VE03000021,北极熊,1618297232021T0304VE03000021VE005441618297446135,/,否,否,是,0,否,嗯,['en']
VE03000021,北极熊,1618298551354T0301VE03000021VE005441618298783888,大熊,否,否,否,5,否,大型,"['da', 'xing']"
VE03000021,北极熊,1618448339008T0301VE03000021VE005441618448817132,/,否,否,否,0,否,,['']
VE03000021,北极熊,1618453654364T0303VE03000021VE005441618453853333,/,否,否,否,0,否,,['']
VE03000021,北极熊,1618468091613T0304VE03000021VE005441618468288951,/,否,否,否,0,否,,['']
VE03000021,北极熊,1618470179737T0303VE03000021VE005441618470324193,/,否,否,否,0,否,,['']
VE03000022,窗户、窗子,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000022,窗户、窗子,1618276120033T0402VE03000022VE000121618276385624,窗户,否,否,是,5,是,超过,"['chao', 'guo']"
VE03000022,窗户、窗子,1618276804004T0404VE03000022VE000121618276993680,窗户,否,否,是,5,是,然后,"['ran', 'hou']"
VE03000022,窗户、窗子,1618279183526T0402VE03000022VE000121618279374632,这是一个小门,否,否,是,5,否,它是一个小白,"['ta', 'shi', 'yi', 'ge', 'xiao', 'bai']"
VE03000022,窗户、窗子,1618295835309T0404VE03000022VE000121618295989965,窗户,否,否,是,4,是,好好,"['hao', 'hao']"
VE03000022,窗户、窗子,1618297906963T0402VE03000022VE000121618298123103,嗯窗户,否,否,是,4,是,嗯他和,"['en', 'ta', 'he']"
VE03000022,窗户、窗子,1618298551354T0301VE03000022VE000121618298749188,窗户,否,否,是,5,是,老虎,"['lao', 'hu']"
VE03000022,窗户、窗子,1618299730739T0402VE03000022VE000121618299983252,窗户,否,否,是,5,是,挑拨我,"['tiao', 'bo', 'wo']"
VE03000022,窗户、窗子,1618448339008T0301VE03000022VE000121618448775783,/,否,否,否,0,否,,['']
VE03000022,窗户、窗子,1618450690039T0402VE03000022VE000121618450825192,/,否,否,否,0,否,,['']
VE03000022,窗户、窗子,1618468821499T0404VE03000022VE000121618468997964,/,否,否,否,0,否,,['']
VE03000022,窗户、窗子,1618468822007T0402VE03000022VE000121618468954624,窗户,否,否,是,5,是,有多少好火,"['you', 'duo', 'shao', 'hao', 'huo']"
VE03000022,窗户、窗子,1618469889703T0404VE03000022VE000121618470016907,enhe,是,否,否,1,否,呵呵,"['he', 'he']"
VE03000022,窗户、窗子,1618470554451T0402VE03000022VE000121618470689777,窗户,否,否,是,5,是,方虎,"['fang', 'hu']"
VE03000022,窗户、窗子,1618471019753T0402VE03000022VE000121618471212153,窗户,否,否,是,5,是,啥苦？,"['sha', 'ku']"
VE03000023,飞机,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000023,飞机,1618273360877T0303VE03000023VE012191618273638420,/,否,否,是,0,否,再说一遍,"['zai', 'shuo', 'yi', 'bian']"
VE03000023,飞机,1618296589699T0302VE03000023VE012191618296794306,/,否,否,否,0,否,嗯,['en']
VE03000023,飞机,1618299576070T0302VE03000023VE012191618299769462,飞机,否,否,否,5,是,飞机,"['fei', 'ji']"
VE03000023,飞机,1618453654364T0303VE03000023VE012191618453824258,/,否,否,否,0,否,,['']
VE03000023,飞机,1618458459974T0302VE03000023VE012191618458792396,/,否,否,否,0,否,,['']
VE03000023,飞机,1618470179737T0303VE03000023VE012191618470292366,飞机,否,否,否,5,是,飞机,"['fei', 'ji']"
VE03000024,苦,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000024,苦,1618273360877T0303VE03000024VE013401618273695545,/,否,否,是,0,否,,['']
VE03000024,苦,1618297232021T0304VE03000024VE013401618297450651,wushaoli,是,否,是,1,否,不是我的意思,"['bu', 'shi', 'wo', 'de', 'yi', 'si']"
VE03000024,苦,1618298551354T0301VE03000024VE013401618298787715,嗯很苦,否,否,是,5,是,啊啊很苦啊,"['a', 'a', 'hen', 'ku', 'a']"
VE03000024,苦,1618448339008T0301VE03000024VE013401618448829183,/,否,否,否,0,否,,['']
VE03000024,苦,1618453654364T0303VE03000024VE013401618453857729,/,否,否,否,0,否,,['']
VE03000024,苦,1618468091613T0304VE03000024VE013401618468293488,/,否,否,否,0,否,,['']
VE03000024,苦,1618470179737T0303VE03000024VE013401618470329592,/,否,否,是,0,否,,['']
VE03000025,绿色,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000025,绿色,1618297232021T0304VE03000025VE005051618297522500,yushe,是,否,是,1,否,嗯是,"['en', 'shi']"
VE03000025,绿色,1618468091613T0304VE03000025VE005051618468371364,/,否,否,否,0,否,,['']
VE03000026,茶壶,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000026,茶壶,1618296589699T0302VE03000026VE002001618296812243,yijianxiahu,是,否,是,1,否,一只小虎,"['yi', 'zhi', 'xiao', 'hu']"
VE03000026,茶壶,1618298551354T0301VE03000026VE002001618298708042,/,否,否,是,0,否,谁知,"['shui', 'zhi']"
VE03000026,茶壶,1618299576070T0302VE03000026VE002001618299783806,/,否,否,是,0,否,我们,"['wo', 'men']"
VE03000026,茶壶,1618448339008T0301VE03000026VE002001618448644550,/,否,否,是,0,否,,['']
VE03000026,茶壶,1618458459974T0302VE03000026VE002001618458821725,/,否,否,是,0,否,,['']
VE03000027,热、烫,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000027,热、烫,1618278457024T0305VE03000027VE009101618278704459,nanabeiweioju,否,否,否,1,否,,['']
VE03000027,热、烫,1618297232021T0304VE03000027VE009101618297491042,杯泽,否,否,是,3,否,桌,['zhuo']
VE03000027,热、烫,1618468091613T0304VE03000027VE009101618468345219,/,否,否,否,0,否,,['']
VE03000028,铅笔,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000028,铅笔,1618278457024T0305VE03000028VE010441618278718744,笔,否,否,否,5,是,比,['bi']
VE03000028,铅笔,1618297232021T0304VE03000028VE010441618297504531,这笔,否,否,否,5,是,,['']
VE03000028,铅笔,1618468091613T0304VE03000028VE010441618468357137,/,否,否,否,0,否,,['']
VE03000029,雪、冰雪,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000029,雪、冰雪,1618278457024T0305VE03000029VE013381618278738864,雪,否,否,是,3,是,,['']
VE03000029,雪、冰雪,1618297232021T0304VE03000029VE013381618297528256,对滴行,否,否,是,1,否,北极熊,"['bei', 'ji', 'xiong']"
VE03000029,雪、冰雪,1618468091613T0304VE03000029VE013381618468375936,/,否,否,否,0,否,,['']
VE03000030,串、葡萄,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000030,串、葡萄,1618297232021T0304VE03000030VE010971618297458942,嗯,否,否,是,4,否,嗯,['en']
VE03000030,串、葡萄,1618298551354T0301VE03000030VE010971618298794390,葡萄是深深的,否,否,是,5,是,葡萄是酸酸的,"['pu', 'tao', 'shi', 'suan', 'suan', 'de']"
VE03000030,串、葡萄,1618448339008T0301VE03000030VE010971618448840315,/,否,否,否,0,否,,['']
VE03000030,串、葡萄,1618468091613T0304VE03000030VE010971618468303065,/,否,否,否,0,否,,['']
VE03000031,推,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000031,推,1618273360877T0303VE03000031VE012441618273717653,fadingyouyan,是,否,是,1,否,画电影人呢,"['hua', 'dian', 'ying', 'ren', 'ni']"
VE03000031,推,1618278457024T0305VE03000031VE012441618278757816,剪刀,否,否,是,3,否,一剪刀,"['yi', 'jian', 'dao']"
VE03000031,推,1618453654364T0303VE03000031VE012441618453878744,/,否,否,否,0,否,,['']
VE03000031,推,1618470179737T0303VE03000031VE012441618470351274,dedaopu,是,否,是,1,否,这包括,"['zhe', 'bao', 'kuo']"
VE03000032,尾巴,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000032,尾巴,1618279183526T0402VE03000032VE012831618279476550,这那个可能是一个球球,否,否,是,4,否,这个啊个啊可能是一个嗯有有,"['zhe', 'ge', 'a', 'ge', 'a', 'ke', 'neng', 'shi', 'yi', 'ge', 'en', 'you', 'you']"
VE03000032,尾巴,1618297906963T0402VE03000032VE012831618298205767,啊,否,否,否,4,否,嗯,['en']
VE03000032,尾巴,1618298551354T0301VE03000032VE012831618298834289,以球,否,否,是,1,否,一球,"['yi', 'qiu']"
VE03000032,尾巴,1618299730739T0402VE03000032VE012831618300067061,尾巴,否,否,否,5,是,尾巴,"['wei', 'ba']"
VE03000032,尾巴,1618448339008T0301VE03000032VE012831618448882424,/,否,否,否,0,否,,['']
VE03000032,尾巴,1618450690039T0402VE03000032VE012831618450903894,/,否,否,否,0,否,,['']
VE03000032,尾巴,1618468822007T0402VE03000032VE012831618469035472,这是图,否,否,是,3,否,啊这是,"['a', 'zhe', 'shi']"
VE03000032,尾巴,1618470554451T0402VE03000032VE012831618470784847,额嗯这什么,否,是,是,5,否,嗯这什么,"['en', 'zhe', 'shen', 'me']"
VE03000032,尾巴,1618471019753T0402VE03000032VE012831618471344334,毛毛我身上有毛毛,否,是,是,5,否,这是我身上有毛毛,"['zhe', 'shi', 'wo', 'shen', 'shang', 'you', 'mao', 'mao']"
VE03000033,下雪、雪,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000033,下雪、雪,1618276120033T0402VE03000033VE009011618276376684,下雪了,否,否,否,5,是,下雪了,"['xia', 'xue', 'le']"
VE03000033,下雪、雪,1618279183526T0402VE03000033VE009011618279361875,这是这有个白雪,否,否,否,3,是,,['']
VE03000033,下雪、雪,1618295835309T0404VE03000033VE009011618295981137,啊,否,否,否,1,否,啊,['a']
VE03000033,下雪、雪,1618297906963T0402VE03000033VE009011618298115363,yada,是,否,否,1,否,谢谢大家,"['xie', 'xie', 'da', 'jia']"
VE03000033,下雪、雪,1618298551354T0301VE03000033VE009011618298740303,雪,否,否,是,5,是,是啊,"['shi', 'a']"
VE03000033,下雪、雪,1618299730739T0402VE03000033VE009011618299969738,雪,否,否,否,5,是,元,['yuan']
VE03000033,下雪、雪,1618448339008T0301VE03000033VE009011618448756432,/,否,否,否,0,否,,['']
VE03000033,下雪、雪,1618450690039T0402VE03000033VE009011618450817733,/,否,否,否,0,否,,['']
VE03000033,下雪、雪,1618468821499T0404VE03000033VE009011618468990307,/,否,否,否,0,否,,['']
VE03000033,下雪、雪,1618468822007T0402VE03000033VE009011618468944349,雪,否,否,是,4,是,,['']
VE03000033,下雪、雪,1618469889703T0404VE03000033VE009011618470006485,下雪了,否,否,是,4,是,非常好，谢谢了,"['fei', 'chang', 'hao', 'xie', 'xie', 'le']"
VE03000033,下雪、雪,1618470554451T0402VE03000033VE009011618470678009,这是下雪了,否,否,是,4,是,就下雪了,"['jiu', 'xia', 'xue', 'le']"
VE03000033,下雪、雪,1618471019753T0402VE03000033VE009011618471199345,北极四季北极,否,否,是,5,否,北极，北极,"['bei', 'ji', 'bei', 'ji']"
VE03000034,裙子,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000034,裙子,1618297232021T0304VE03000034VE011131618297472260,裙子,否,否,是,4,是,这个工资,"['zhe', 'ge', 'gong', 'zi']"
VE03000034,裙子,1618298551354T0301VE03000034VE011131618298809572,一涛裙子,否,否,是,4,是,你偷橘子,"['ni', 'tou', 'ju', 'zi']"
VE03000034,裙子,1618448339008T0301VE03000034VE011131618448858357,/,否,否,否,0,否,,['']
VE03000035,轮胎,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000035,轮胎,1618273360877T0303VE03000035VE006341618273722845,胎,否,否,否,3,否,他,['ta']
VE03000035,轮胎,1618470179737T0303VE03000035VE006341618470357726,yizi,是,否,是,1,否,你这,"['ni', 'zhe']"
VE03000036,餐厅、餐馆,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000036,餐厅、餐馆,1618273360877T0303VE03000036VE006981618273619120,ei,是,否,是,1,否,没有,"['mei', 'you']"
VE03000036,餐厅、餐馆,1618278457024T0305VE03000036VE006981618278777705,/,否,否,是,0,否,谁知,"['shui', 'zhi']"
VE03000036,餐厅、餐馆,1618453654364T0303VE03000036VE006981618453806779,/,否,否,否,0,否,,['']
VE03000036,餐厅、餐馆,1618470179737T0303VE03000036VE006981618470275362,吃饭的地方,否,否,是,5,否,吃饭的地方,"['chi', 'fan', 'de', 'di', 'fang']"
VE03000037,摘、采摘,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000037,摘、采摘,1618296589699T0302VE03000037VE007641618296818133,豆水果,否,否,是,2,否,豆腐果,"['dou', 'fu', 'guo']"
VE03000037,摘、采摘,1618298551354T0301VE03000037VE007641618298713051,他在拿苹果的,否,否,是,4,否,但是他他对他再拿苹果的还,"['dan', 'shi', 'ta', 'ta', 'dui', 'ta', 'zai', 'na', 'ping', 'guo', 'de', 'huan']"
VE03000037,摘、采摘,1618299576070T0302VE03000037VE007641618299790677,剥苹果,否,否,是,2,否,大家不不我听不？,"['da', 'jia', 'bu', 'bu', 'wo', 'ting', 'bu']"
VE03000037,摘、采摘,1618447973704T0301VE03000037VE007641618448193828,/,否,否,否,0,否,,['']
VE03000037,摘、采摘,1618448339008T0301VE03000037VE007641618448675427,/,否,否,否,0,否,,['']
VE03000038,瘦、苗条,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000038,瘦、苗条,1618273360877T0303VE03000038VE008821618273705494,/,否,否,是,0,否,唉,['ai']
VE03000038,瘦、苗条,1618278457024T0305VE03000038VE008821618278744858,那那个人读棒,否,否,是,1,否,那那个人毒棒,"['na', 'na', 'ge', 'ren', 'du', 'bang']"
VE03000038,瘦、苗条,1618453654364T0303VE03000038VE008821618453864722,/,否,否,否,0,否,,['']
VE03000038,瘦、苗条,1618470179737T0303VE03000038VE008821618470338686,/,否,否,否,0,否,,['']
VE03000039,搀扶、扶,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,
VE03000039,搀扶、扶,1618297232021T0304VE03000039VE013481618297475836,hutaoqinghutao,是,否,是,1,否,葡萄酒葡萄,"['pu', 'tao', 'jiu', 'pu', 'tao']"
