图片ID,图片答案,音频ID,音频内容,使用拼音,包含志愿者声音,包含明显噪声,发音标准程度,认知正确性,讯飞中文语音测试结果,讯飞拼音,标准拼音,讯飞数据,讯飞判定
VE02000010,三、气球,1618296589699T0302VE02000010VE005421618296779473,akeqixiu,1,0,0,2,1,他可清醒,"['ta', 'ke', 'qing', 'xing']","['san', 'qi-qiu']","{""word"": ""\u4ed6\u53ef\u6e05\u9192"", ""pinyin"": ""['ta', 'ke', 'qing', 'xing']"", ""nearest"": [""ta""], ""minDis"": 2.0}",0
VE02000010,三、气球,1618299576070T0302VE02000010VE005421618299749829,sanji,1,0,1,1,0,,[''],"['san', 'qi-qiu']",{},-1
VE02000010,三、气球,1618458459974T0302VE02000010VE005421618458757780,/,0,0,0,0,0,,[''],"['san', 'qi-qiu']",{},-1
VE02000011,穿衣服,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['chuan-yi-fu'],{},-1
VE02000011,穿衣服,1618278457024T0305VE02000011VE002891618278682717,/,0,0,1,0,0,,[''],['chuan-yi-fu'],{},-1
VE02000011,穿衣服,1618296589699T0302VE02000011VE002891618296784255,haodedaonenxiexi,1,0,0,1,0,好的，大家学习,"['hao', 'de', 'da', 'jia', 'xue', 'xi']",['chuan-yi-fu'],"{""word"": ""\u597d\u7684\uff0c\u5927\u5bb6\u5b66\u4e60"", ""pinyin"": ""['hao', 'de', 'da', 'jia', 'xue', 'xi']"", ""nearest"": [""hao"", ""de"", ""da""], ""minDis"": 2.466666666666667}",0
VE02000011,穿衣服,1618299576070T0302VE02000011VE002891618299755103,/,0,0,1,0,0,,[''],['chuan-yi-fu'],{},-1
VE02000011,穿衣服,1618458459974T0302VE02000011VE002891618458767747,/,0,0,0,0,0,,[''],['chuan-yi-fu'],{},-1
VE02000012,撕,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['si'],{},-1
VE02000012,撕,1618278457024T0305VE02000012VE008911618278690502,/,0,0,1,0,0,,[''],['si'],{},-1
VE02000012,撕,1618296589699T0302VE02000012VE008911618296789157,huiyihuo,1,0,0,1,0,嗯好衣服,"['en', 'hao', 'yi', 'fu']",['si'],"{""word"": ""\u55ef\u597d\u8863\u670d"", ""pinyin"": ""['en', 'hao', 'yi', 'fu']"", ""nearest"": [""yi""], ""minDis"": 1.0}",0
VE02000012,撕,1618299576070T0302VE02000012VE008911618299760827,/,0,0,1,0,0,嗯,['en'],['si'],"{""word"": ""\u55ef"", ""pinyin"": ""['en']"", ""nearest"": [""en""], ""minDis"": 3.0}",0
VE02000012,撕,1618458459974T0302VE02000012VE008911618458774562,/,0,0,0,0,0,,[''],['si'],{},-1
VE03000013,嘴巴、牙齿,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['zui-ba', 'ya-chi']",{},-1
VE03000013,嘴巴、牙齿,1618198908833T0405VE03000013VE012011618199037805,duwa,1,0,0,1,0,死了,"['si', 'le']","['zui-ba', 'ya-chi']","{""word"": ""\u6b7b\u4e86"", ""pinyin"": ""['si', 'le']"", ""nearest"": [""si"", ""le""], ""minDis"": 2.0}",0
VE03000013,嘴巴、牙齿,1618274322938T0405VE03000013VE012011618274658597,这是牙齿,0,0,1,5,1,这是牙齿,"['zhe', 'shi', 'ya', 'chi']","['zui-ba', 'ya-chi']","{""word"": ""\u8fd9\u662f\u7259\u9f7f"", ""pinyin"": ""['zhe', 'shi', 'ya', 'chi']"", ""nearest"": [""ya"", ""chi""], ""minDis"": 0.0}",1
VE03000013,嘴巴、牙齿,1618280457904T0405VE03000013VE012011618280661538,牙齿,0,0,0,5,1,牙齿,"['ya', 'chi']","['zui-ba', 'ya-chi']","{""word"": ""\u7259\u9f7f"", ""pinyin"": ""['ya', 'chi']"", ""nearest"": [""ya"", ""chi""], ""minDis"": 0.0}",1
VE03000013,嘴巴、牙齿,1618294413048T0405VE03000013VE012011618294634723,拔,0,0,0,3,0,啊,['a'],"['zui-ba', 'ya-chi']","{""word"": ""\u554a"", ""pinyin"": ""['a']""}",-1
VE03000013,嘴巴、牙齿,1618297906963T0402VE03000013VE012011618298133898,/,0,0,0,0,0,嗯,['en'],"['zui-ba', 'ya-chi']","{""word"": ""\u55ef"", ""pinyin"": ""['en']""}",-1
VE03000013,嘴巴、牙齿,1618298551354T0301VE03000013VE012011618298759812,yazihaiyoukuohu,1,0,1,1,0,你要是还要困惑,"['ni', 'yao', 'shi', 'huan', 'yao', 'kun', 'huo']","['zui-ba', 'ya-chi']","{""word"": ""\u4f60\u8981\u662f\u8fd8\u8981\u56f0\u60d1"", ""pinyin"": ""['ni', 'yao', 'shi', 'huan', 'yao', 'kun', 'huo']"", ""nearest"": [""yao"", ""shi""], ""minDis"": 0.9}",0
VE03000013,嘴巴、牙齿,1618299730739T0402VE03000013VE012011618299994778,/,0,0,0,0,0,,[''],"['zui-ba', 'ya-chi']",{},-1
VE03000013,嘴巴、牙齿,1618447804255T0405VE03000013VE012011618448009807,/,0,0,0,0,0,,[''],"['zui-ba', 'ya-chi']",{},-1
VE03000013,嘴巴、牙齿,1618448339008T0301VE03000013VE012011618448792096,/,0,0,0,0,0,,[''],"['zui-ba', 'ya-chi']",{},-1
VE03000013,嘴巴、牙齿,1618450690039T0402VE03000013VE012011618450835511,/,0,0,0,0,0,,[''],"['zui-ba', 'ya-chi']",{},-1
VE03000013,嘴巴、牙齿,1618452868800T0405VE03000013VE012011618453038129,/,0,0,0,0,0,,[''],"['zui-ba', 'ya-chi']",{},-1
VE03000013,嘴巴、牙齿,1618468822007T0402VE03000013VE012011618468966887,嘴巴牙齿,0,0,1,5,1,嘴巴、牙齿,"['zui', 'ba', 'ya', 'chi']","['zui-ba', 'ya-chi']","{""word"": ""\u5634\u5df4\u3001\u7259\u9f7f"", ""pinyin"": ""['zui', 'ba', 'ya', 'chi']"", ""nearest"": [""zui"", ""ba""], ""minDis"": 0.0}",1
VE03000013,嘴巴、牙齿,1618470554451T0402VE03000013VE012011618470701535,巴,0,0,1,3,0,八,['ba'],"['zui-ba', 'ya-chi']","{""word"": ""\u516b"", ""pinyin"": ""['ba']""}",-1
VE03000013,嘴巴、牙齿,1618471231080T0405VE03000013VE012011618471328161,牙齿,0,0,1,4,1,,[''],"['zui-ba', 'ya-chi']",{},-1
VE03000014,叶子、树叶,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['ye-zi', 'shu-ye']",{},-1
VE03000014,叶子、树叶,1618296589699T0302VE03000014VE001131618296823006,/,0,0,0,0,0,,[''],"['ye-zi', 'shu-ye']",{},-1
VE03000014,叶子、树叶,1618298551354T0301VE03000014VE001131618298721863,叶子,0,0,0,5,1,叶子,"['ye', 'zi']","['ye-zi', 'shu-ye']","{""word"": ""\u53f6\u5b50"", ""pinyin"": ""['ye', 'zi']"", ""nearest"": [""ye"", ""zi""], ""minDis"": 0.0}",1
VE03000014,叶子、树叶,1618299576070T0302VE03000014VE001131618299799060,叶子,0,0,0,5,1,叶子,"['ye', 'zi']","['ye-zi', 'shu-ye']","{""word"": ""\u53f6\u5b50"", ""pinyin"": ""['ye', 'zi']"", ""nearest"": [""ye"", ""zi""], ""minDis"": 0.0}",1
VE03000014,叶子、树叶,1618448339008T0301VE03000014VE001131618448693262,/,0,0,0,0,0,,[''],"['ye-zi', 'shu-ye']",{},-1
VE03000014,叶子、树叶,1618458459974T0302VE03000014VE001131618458850506,/,0,0,0,0,0,,[''],"['ye-zi', 'shu-ye']",{},-1
VE03000015,袋鼠,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['dai-shu'],{},-1
VE03000015,袋鼠,1618276120033T0402VE03000015VE005261618276381437,袋鼠,0,0,0,5,1,袋鼠,"['dai', 'shu']",['dai-shu'],"{""word"": ""\u888b\u9f20"", ""pinyin"": ""['dai', 'shu']"", ""nearest"": [""dai"", ""shu""], ""minDis"": 0.0}",1
VE03000015,袋鼠,1618276804004T0404VE03000015VE005261618276985873,/,0,0,1,0,0,,[''],['dai-shu'],{},-1
VE03000015,袋鼠,1618279183526T0402VE03000015VE005261618279369751,这是袋鼠,0,0,0,5,1,这是袋鼠,"['zhe', 'shi', 'dai', 'shu']",['dai-shu'],"{""word"": ""\u8fd9\u662f\u888b\u9f20"", ""pinyin"": ""['zhe', 'shi', 'dai', 'shu']"", ""nearest"": [""dai"", ""shu""], ""minDis"": 0.0}",1
VE03000015,袋鼠,1618285767289T0404VE03000015VE005261618285936536,鼠,0,0,0,2,0,出,['chu'],['dai-shu'],"{""word"": ""\u51fa"", ""pinyin"": ""['chu']""}",-1
VE03000015,袋鼠,1618295835309T0404VE03000015VE005261618295985112,楷鼠,0,0,1,2,0,,[''],['dai-shu'],{},-1
VE03000015,袋鼠,1618297906963T0402VE03000015VE005261618298119274,袋鼠,0,0,0,5,1,但是我,"['dan', 'shi', 'wo']",['dai-shu'],"{""word"": ""\u4f46\u662f\u6211"", ""pinyin"": ""['dan', 'shi', 'wo']"", ""nearest"": [""dan"", ""shi""], ""minDis"": 1.1}",0
VE03000015,袋鼠,1618298551354T0301VE03000015VE005261618298744734,这什么,0,0,1,4,0,这什么啊,"['zhe', 'shen', 'me', 'a']",['dai-shu'],"{""word"": ""\u8fd9\u4ec0\u4e48\u554a"", ""pinyin"": ""['zhe', 'shen', 'me', 'a']"", ""nearest"": [""zhe"", ""shen""], ""minDis"": 3.0}",0
VE03000015,袋鼠,1618299730739T0402VE03000015VE005261618299976797,/,0,0,1,0,0,嗯,['en'],['dai-shu'],"{""word"": ""\u55ef"", ""pinyin"": ""['en']""}",-1
VE03000015,袋鼠,1618448339008T0301VE03000015VE005261618448764571,/,0,0,0,0,0,,[''],['dai-shu'],{},-1
VE03000015,袋鼠,1618450690039T0402VE03000015VE005261618450821542,/,0,0,0,0,0,,[''],['dai-shu'],{},-1
VE03000015,袋鼠,1618468821499T0404VE03000015VE005261618468994408,/,0,0,0,0,0,,[''],['dai-shu'],{},-1
VE03000015,袋鼠,1618468822007T0402VE03000015VE005261618468949202,小袋鼠,0,0,1,4,1,跳大腿,"['tiao', 'da', 'tui']",['dai-shu'],"{""word"": ""\u8df3\u5927\u817f"", ""pinyin"": ""['tiao', 'da', 'tui']"", ""nearest"": [""da"", ""tui""], ""minDis"": 2.0}",0
VE03000015,袋鼠,1618469889703T0404VE03000015VE005261618470011530,jiesi,1,0,1,1,0,,[''],['dai-shu'],{},-1
VE03000015,袋鼠,1618470554451T0402VE03000015VE005261618470683530,嗯袋鼠,0,0,1,5,1,嗯袋鼠,"['en', 'dai', 'shu']",['dai-shu'],"{""word"": ""\u55ef\u888b\u9f20"", ""pinyin"": ""['en', 'dai', 'shu']"", ""nearest"": [""dai"", ""shu""], ""minDis"": 0.0}",1
VE03000015,袋鼠,1618471019753T0402VE03000015VE005261618471207595,袋鼠,0,0,1,5,1,袋鼠,"['dai', 'shu']",['dai-shu'],"{""word"": ""\u888b\u9f20"", ""pinyin"": ""['dai', 'shu']"", ""nearest"": [""dai"", ""shu""], ""minDis"": 0.0}",1
VE03000016,理发师,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['li-fa-shi'],{},-1
VE03000016,理发师,1618273360877T0303VE03000016VE000941618273626992,/,0,0,1,0,0,嗯,['en'],['li-fa-shi'],"{""word"": ""\u55ef"", ""pinyin"": ""['en']""}",-1
VE03000016,理发师,1618278457024T0305VE03000016VE000941618278784732,他去理发店,0,0,1,3,1,在这里发电,"['zai', 'zhe', 'li', 'fa', 'dian']",['li-fa-shi'],"{""word"": ""\u5728\u8fd9\u91cc\u53d1\u7535"", ""pinyin"": ""['zai', 'zhe', 'li', 'fa', 'dian']"", ""nearest"": [""li"", ""fa"", ""dian""], ""minDis"": 1.3333333333333333}",0
VE03000016,理发师,1618453654364T0303VE03000016VE000941618453812093,/,0,0,0,0,0,,[''],['li-fa-shi'],{},-1
VE03000016,理发师,1618470179737T0303VE03000016VE000941618470280961,/,0,0,1,0,0,谁知,"['shui', 'zhi']",['li-fa-shi'],"{""word"": ""\u8c01\u77e5"", ""pinyin"": ""['shui', 'zhi']""}",-1
VE03000017,道路、公路、马路,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['dao-lu', 'gong-lu', 'ma-lu']",{},-1
VE03000017,道路、公路、马路,1618273360877T0303VE03000017VE008641618273684756,dema,1,0,0,1,0,嗯懂吗？,"['en', 'dong', 'ma']","['dao-lu', 'gong-lu', 'ma-lu']","{""word"": ""\u55ef\u61c2\u5417\uff1f"", ""pinyin"": ""['en', 'dong', 'ma']"", ""nearest"": [""dong"", ""ma""], ""minDis"": 1.6}",0
VE03000017,道路、公路、马路,1618297232021T0304VE03000017VE008641618297440515,这是路,0,0,1,5,1,,[''],"['dao-lu', 'gong-lu', 'ma-lu']",{},-1
VE03000017,道路、公路、马路,1618298551354T0301VE03000017VE008641618298777437,嗯树林,0,0,1,5,0,嗯树林,"['en', 'shu', 'lin']","['dao-lu', 'gong-lu', 'ma-lu']","{""word"": ""\u55ef\u6811\u6797"", ""pinyin"": ""['en', 'shu', 'lin']"", ""nearest"": [""en"", ""shu""], ""minDis"": 2.5}",0
VE03000017,道路、公路、马路,1618448339008T0301VE03000017VE008641618448811350,/,0,0,0,0,0,,[''],"['dao-lu', 'gong-lu', 'ma-lu']",{},-1
VE03000017,道路、公路、马路,1618453654364T0303VE03000017VE008641618453849989,/,0,0,0,0,0,,[''],"['dao-lu', 'gong-lu', 'ma-lu']",{},-1
VE03000017,道路、公路、马路,1618468091613T0304VE03000017VE008641618468281182,/,0,0,0,0,0,,[''],"['dao-lu', 'gong-lu', 'ma-lu']",{},-1
VE03000017,道路、公路、马路,1618470179737T0303VE03000017VE008641618470318821,树,0,0,1,5,0,,[''],"['dao-lu', 'gong-lu', 'ma-lu']",{},-1
VE03000018,蹦床,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['beng-chuang'],{},-1
VE03000018,蹦床,1618278457024T0305VE03000018VE006141618278711946,床床单,0,0,1,3,0,冯冯丹,"['feng', 'feng', 'dan']",['beng-chuang'],"{""word"": ""\u51af\u51af\u4e39"", ""pinyin"": ""['feng', 'feng', 'dan']"", ""nearest"": [""feng"", ""feng""], ""minDis"": 2.5}",0
VE03000018,蹦床,1618297232021T0304VE03000018VE006141618297498206,deqiaole,1,0,1,1,0,,[''],['beng-chuang'],{},-1
VE03000018,蹦床,1618468091613T0304VE03000018VE006141618468350369,/,0,0,0,0,0,,[''],['beng-chuang'],{},-1
VE03000019,自行车、单车,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['zi-xing-che', 'dan-che']",{},-1
VE03000019,自行车、单车,1618297906963T0402VE03000019VE007591618298209243,/,0,0,0,0,0,,[''],"['zi-xing-che', 'dan-che']",{},-1
VE03000019,自行车、单车,1618298551354T0301VE03000019VE007591618298838544,一窍即行车,0,0,1,2,1,球一球地行车,"['qiu', 'yi', 'qiu', 'di', 'xing', 'che']","['zi-xing-che', 'dan-che']","{""word"": ""\u7403\u4e00\u7403\u5730\u884c\u8f66"", ""pinyin"": ""['qiu', 'yi', 'qiu', 'di', 'xing', 'che']"", ""nearest"": [""di"", ""xing"", ""che""], ""minDis"": 0.3333333333333333}",0
VE03000019,自行车、单车,1618299730739T0402VE03000019VE007591618300070691,/,0,0,1,0,0,,[''],"['zi-xing-che', 'dan-che']",{},-1
VE03000019,自行车、单车,1618448339008T0301VE03000019VE007591618448890837,/,0,0,0,0,0,,[''],"['zi-xing-che', 'dan-che']",{},-1
VE03000019,自行车、单车,1618450690039T0402VE03000019VE007591618450909029,/,0,0,0,0,0,,[''],"['zi-xing-che', 'dan-che']",{},-1
VE03000019,自行车、单车,1618468822007T0402VE03000019VE007591618469043264,行车,0,0,1,4,0,停车,"['ting', 'che']","['zi-xing-che', 'dan-che']","{""word"": ""\u505c\u8f66"", ""pinyin"": ""['ting', 'che']""}",-1
VE03000019,自行车、单车,1618470554451T0402VE03000019VE007591618470793160,自行车,0,0,1,5,1,进行车,"['jin', 'xing', 'che']","['zi-xing-che', 'dan-che']","{""word"": ""\u8fdb\u884c\u8f66"", ""pinyin"": ""['jin', 'xing', 'che']"", ""nearest"": [""jin"", ""xing"", ""che""], ""minDis"": 0.6666666666666666}",0
VE03000019,自行车、单车,1618471019753T0402VE03000019VE007591618471425416,自私车,0,0,1,3,1,这次，车,"['zhe', 'ci', 'che']","['zi-xing-che', 'dan-che']","{""word"": ""\u8fd9\u6b21\uff0c\u8f66"", ""pinyin"": ""['zhe', 'ci', 'che']"", ""nearest"": [""ci"", ""che""], ""minDis"": 1.5}",0
VE03000020,跳舞,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['tiao-wu'],{},-1
VE03000020,跳舞,1618273360877T0303VE03000020VE012861618273632458,/,0,0,1,0,0,嗯,['en'],['tiao-wu'],"{""word"": ""\u55ef"", ""pinyin"": ""['en']""}",-1
VE03000020,跳舞,1618278457024T0305VE03000020VE012861618278792901,/,0,0,1,0,0,嗯,['en'],['tiao-wu'],"{""word"": ""\u55ef"", ""pinyin"": ""['en']""}",-1
VE03000020,跳舞,1618453654364T0303VE03000020VE012861618453818799,/,0,0,0,0,0,,[''],['tiao-wu'],{},-1
VE03000020,跳舞,1618470179737T0303VE03000020VE012861618470288153,跳舞,0,0,0,5,1,跳舞,"['tiao', 'wu']",['tiao-wu'],"{""word"": ""\u8df3\u821e"", ""pinyin"": ""['tiao', 'wu']"", ""nearest"": [""tiao"", ""wu""], ""minDis"": 0.0}",1
VE03000021,北极熊,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,['bei-ji-xiong'],{},-1
VE03000021,北极熊,1618273360877T0303VE03000021VE005441618273690493,不知道,0,0,1,4,0,不知道,"['bu', 'zhi', 'dao']",['bei-ji-xiong'],"{""word"": ""\u4e0d\u77e5\u9053"", ""pinyin"": ""['bu', 'zhi', 'dao']"", ""nearest"": [""bu"", ""zhi"", ""dao""], ""minDis"": 2.6666666666666665}",0
VE03000021,北极熊,1618297232021T0304VE03000021VE005441618297446135,/,0,0,1,0,0,嗯,['en'],['bei-ji-xiong'],"{""word"": ""\u55ef"", ""pinyin"": ""['en']""}",-1
VE03000021,北极熊,1618298551354T0301VE03000021VE005441618298783888,大熊,0,0,0,5,0,大型,"['da', 'xing']",['bei-ji-xiong'],"{""word"": ""\u5927\u578b"", ""pinyin"": ""['da', 'xing']""}",-1
VE03000021,北极熊,1618448339008T0301VE03000021VE005441618448817132,/,0,0,0,0,0,,[''],['bei-ji-xiong'],{},-1
VE03000021,北极熊,1618453654364T0303VE03000021VE005441618453853333,/,0,0,0,0,0,,[''],['bei-ji-xiong'],{},-1
VE03000021,北极熊,1618468091613T0304VE03000021VE005441618468288951,/,0,0,0,0,0,,[''],['bei-ji-xiong'],{},-1
VE03000021,北极熊,1618470179737T0303VE03000021VE005441618470324193,/,0,0,0,0,0,,[''],['bei-ji-xiong'],{},-1
VE03000022,窗户、窗子,------------------------------------------------,--------------------,--------,--------------,------------,------------,----------,---------------------,,"['chuang-hu', 'chuang-zi']",{},-1
VE03000022,窗户、窗子,1618276120033T0402VE03000022VE000121618276385624,窗户,0,0,1,5,1,超过,"['chao', 'guo']","['chuang-hu', 'chuang-zi']","{""word"": ""\u8d85\u8fc7"", ""pinyin"": ""['chao', 'guo']"", ""nearest"": [""chao"", ""guo""], ""minDis"": 2.5}",0
VE03000022,窗户、窗子,1618276804004T0404VE03000022VE000121618276993680,窗户,0,0,1,5,1,然后,"['ran', 'hou']","['chuang-hu', 'chuang-zi']","{""word"": ""\u7136\u540e"", ""pinyin"": ""['ran', 'hou']"", ""nearest"": [""ran"", ""hou""], ""minDis"": 2.5}",0
VE03000022,窗户、窗子,1618279183526T0402VE03000022VE000121618279374632,这是一个小门,0,0,1,5,0,它是一个小白,"['ta', 'shi', 'yi', 'ge', 'xiao', 'bai']","['chuang-hu', 'chuang-zi']","{""word"": ""\u5b83\u662f\u4e00\u4e2a\u5c0f\u767d"", ""pinyin"": ""['ta', 'shi', 'yi', 'ge', 'xiao', 'bai']"", ""nearest"": [""shi"", ""yi""], ""minDis"": 2.9}",0
VE03000022,窗户、窗子,1618295835309T0404VE03000022VE000121618295989965,窗户,0,0,1,4,1,好好,"['hao', 'hao']","['chuang-hu', 'chuang-zi']","{""word"": ""\u597d\u597d"", ""pinyin"": ""['hao', 'hao']"", ""nearest"": [""hao"", ""hao""], ""minDis"": 3.0}",0
VE03000022,窗户、窗子,1618297906963T0402VE03000022VE000121618298123103,嗯窗户,0,0,1,4,1,嗯他和,"['en', 'ta', 'he']","['chuang-hu', 'chuang-zi']","{""word"": ""\u55ef\u4ed6\u548c"", ""pinyin"": ""['en', 'ta', 'he']"", ""nearest"": [""ta"", ""he""], ""minDis"": 3.1}",0
VE03000022,窗户、窗子,1618298551354T0301VE03000022VE000121618298749188,窗户,0,0,1,5,1,老虎,"['lao', 'hu']","['chuang-hu', 'chuang-zi']","{""word"": ""\u8001\u864e"", ""pinyin"": ""['lao', 'hu']"", ""nearest"": [""lao"", ""hu""], ""minDis"": 2.5}",0
